Step,Value
251,-55.853145599365234
252,-47.02242660522461
253,-42.94242477416992
254,-27.36647605895996
255,-35.79157638549805
256,-44.0
257,-46.0
258,-45.570526123046875
259,-59.96453094482422
260,-42.0
261,-56.03403854370117
262,-42.24420928955078
263,-43.865455627441406
264,-46.83684158325195
265,-42.0
266,-23.38421058654785
267,-6.221052646636963
268,-31.836841583251953
269,-41.83684158325195
270,-44.48124694824219
271,-45.570526123046875
272,-40.954734802246094
273,-49.0
274,-44.0
275,-42.40736770629883
276,-56.98226547241211
277,-53.4635124206543
278,-47.0
279,-52.552791595458984
280,-43.05177307128906
281,-49.0
282,-44.70229721069336
283,-43.38420867919922
284,-69.2857437133789
285,-11.808582305908203
286,-27.962491989135742
287,-40.38420867919922
288,-32.0
289,-40.0
290,-32.7684211730957
291,-39.62229919433594
292,-45.48124694824219
293,-43.3289680480957
294,-43.0
295,-42.48124694824219
296,-47.0
297,-47.4635124206543
298,-41.38420867919922
299,-48.16581344604492
300,-37.05177307128906
301,-11.465262413024902
302,-25.72545623779297
303,-26.141050338745117
304,-18.0
305,-19.348743438720703
306,-6.384210586547852
307,-32.0
308,-20.79157829284668
309,-42.0
310,-38.83684158325195
311,-11.481245994567871
312,-39.0
313,-36.83684158325195
314,-24.0
315,-21.801374435424805
316,-24.96453285217285
317,-3.8654568195343018
318,-26.0
319,-35.570526123046875
320,-32.38420867919922
321,-50.98226547241211
322,-44.0
323,-50.98226547241211
324,-39.0
325,-40.0
326,-47.0
327,-46.0
328,-45.38420867919922
329,-47.570526123046875
330,-55.50752639770508
331,-45.570526123046875
332,-41.0
333,-42.0
334,-8.622297286987305
335,-25.481246948242188
336,-38.38420867919922
337,-40.954734802246094
338,-47.48124694824219
339,-39.673683166503906
340,-46.0
341,-40.38420867919922
342,-53.98226547241211
343,-45.0
344,-41.48124694824219
345,-42.05177307128906
346,-45.81910705566406
347,-44.05177307128906
348,-33.673683166503906
349,-42.83684158325195
350,-50.366477966308594
351,-44.0
352,-53.84772491455078
353,-36.83684158325195
354,-55.81910705566406
355,-46.0
356,-45.0
357,-52.4635124206543
358,-38.31808853149414
359,-36.30144119262695
360,-43.0
361,-55.93700408935547
362,-51.35212707519531
363,-47.81910705566406
364,-53.98226547241211
365,-37.865455627441406
366,-41.48124694824219
367,-50.98226547241211
368,-40.22105407714844
369,-43.0
370,-43.83684158325195
371,-49.0
372,-50.0
373,-46.0
374,-42.570526123046875
375,-19.481246948242188
376,-27.570526123046875
377,-33.98226547241211
378,-25.0
379,-41.0
380,-42.44374084472656
381,-53.98226547241211
382,-42.48124694824219
383,-44.98226547241211
384,-37.79157638549805
385,-43.14105224609375
386,-56.82999038696289
387,-46.48124694824219
388,-38.38420867919922
389,-57.49755096435547
390,-40.0
391,-45.570526123046875
392,-38.38420867919922
393,-43.0
394,-38.22105407714844
395,-42.31808853149414
396,-41.48124694824219
397,-47.0
398,-28.962491989135742
399,-13.570525169372559
400,-25.84772300720215
401,-31.38421058654785
402,-33.40736770629883
403,-41.0
404,-42.0
405,-52.20331954956055
406,-37.7684211730957
407,-41.40736770629883
408,-38.22105407714844
409,-40.38420867919922
