Step,Value
532,1.0
533,0.0
534,1.0
535,0.0
536,0.0
537,1.0
538,1.0
539,2.0
540,1.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,1.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,1.0
556,0.0
557,0.0
558,1.0
559,1.0
560,0.0
561,1.0
562,0.0
563,0.0
564,0.0
565,0.0
566,1.0
567,0.0
568,1.0
569,0.0
570,1.0
571,0.0
572,1.0
573,1.0
574,0.0
575,3.0
576,2.0
577,2.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,1.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,1.0
590,1.0
591,0.0
592,4.0
593,0.0
594,0.0
595,0.0
596,0.0
597,1.0
598,0.0
599,0.0
600,0.0
601,1.0
602,0.0
603,0.0
604,0.0
605,1.0
606,0.0
607,0.0
608,0.0
609,1.0
610,0.0
611,0.0
612,0.0
613,0.0
614,1.0
615,0.0
616,0.0
617,2.0
618,0.0
619,0.0
620,0.0
621,0.0
622,2.0
623,1.0
624,0.0
625,0.0
626,0.0
627,0.0
628,1.0
629,0.0
630,0.0
631,1.0
632,0.0
633,1.0
634,1.0
635,0.0
636,0.0
637,0.0
638,0.0
639,1.0
640,0.0
641,1.0
642,0.0
643,0.0
644,1.0
645,0.0
646,0.0
647,0.0
648,0.0
649,2.0
650,1.0
651,1.0
652,1.0
653,1.0
654,0.0
655,0.0
656,0.0
657,1.0
658,0.0
659,0.0
660,1.0
661,0.0
662,1.0
663,2.0
664,1.0
665,1.0
666,0.0
667,0.0
668,1.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,1.0
676,0.0
677,1.0
678,1.0
679,0.0
680,0.0
681,3.0
682,1.0
683,4.0
684,1.0
685,2.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,2.0
693,0.0
694,0.0
695,1.0
696,0.0
697,2.0
698,2.0
699,4.0
700,0.0
701,1.0
702,0.0
703,0.0
704,0.0
705,1.0
706,0.0
707,0.0
708,0.0
709,1.0
710,0.0
711,1.0
712,0.0
713,0.0
714,1.0
715,0.0
716,0.0
717,0.0
718,0.0
719,1.0
720,4.0
721,0.0
722,1.0
723,1.0
724,2.0
725,1.0
726,0.0
727,1.0
728,1.0
729,2.0
730,1.0
731,2.0
732,3.0
733,0.0
734,3.0
735,1.0
736,0.0
737,0.0
738,1.0
739,0.0
740,1.0
741,1.0
742,3.0
743,0.0
744,1.0
745,4.0
746,0.0
747,2.0
748,1.0
749,3.0
750,5.0
751,0.0
752,1.0
753,2.0
754,1.0
755,1.0
756,0.0
757,0.0
758,1.0
759,0.0
760,0.0
761,1.0
762,0.0
763,1.0
764,1.0
765,0.0
766,0.0
767,3.0
768,2.0
769,1.0
770,0.0
771,2.0
772,0.0
773,0.0
774,1.0
775,1.0
776,0.0
777,0.0
778,1.0
779,0.0
780,1.0
781,1.0
782,0.0
783,0.0
784,1.0
785,1.0
786,0.0
787,2.0
788,1.0
789,0.0
790,1.0
791,1.0
792,0.0
793,0.0
794,0.0
795,2.0
796,1.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,3.0
803,1.0
804,1.0
805,2.0
806,1.0
807,0.0
808,2.0
809,0.0
810,0.0
811,1.0
812,1.0
813,0.0
814,0.0
815,0.0
816,0.0
817,2.0
818,1.0
819,1.0
820,1.0
821,1.0
822,0.0
823,0.0
824,1.0
825,1.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,2.0
833,2.0
834,0.0
835,0.0
836,1.0
837,0.0
838,1.0
839,4.0
840,1.0
841,1.0
842,4.0
843,1.0
844,1.0
845,1.0
846,0.0
847,0.0
848,0.0
849,1.0
850,0.0
851,0.0
852,0.0
853,0.0
854,1.0
855,0.0
856,0.0
857,1.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,1.0
867,1.0
868,0.0
869,0.0
870,1.0
871,1.0
872,0.0
873,1.0
874,0.0
875,4.0
876,1.0
877,1.0
878,1.0
879,1.0
880,0.0
881,2.0
882,0.0
883,1.0
884,2.0
885,2.0
886,3.0
887,1.0
888,2.0
889,2.0
890,0.0
891,0.0
892,0.0
893,1.0
894,1.0
895,0.0
896,0.0
897,1.0
898,1.0
899,0.0
900,3.0
901,0.0
902,1.0
903,1.0
904,0.0
905,0.0
906,0.0
907,0.0
908,1.0
909,1.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,1.0
916,0.0
917,0.0
918,0.0
919,0.0
920,1.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,3.0
927,2.0
928,1.0
929,3.0
930,2.0
931,5.0
932,1.0
933,1.0
934,4.0
935,3.0
936,2.0
937,7.0
938,4.0
939,1.0
940,1.0
941,0.0
942,2.0
943,2.0
944,1.0
945,2.0
946,0.0
947,1.0
948,1.0
949,0.0
950,0.0
951,0.0
952,0.0
953,2.0
954,1.0
955,0.0
956,1.0
957,1.0
958,0.0
959,2.0
960,0.0
961,0.0
962,1.0
963,5.0
964,1.0
965,1.0
966,7.0
967,0.0
968,0.0
969,1.0
970,1.0
971,1.0
972,1.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,1.0
982,1.0
983,1.0
984,0.0
985,0.0
986,0.0
987,0.0
988,2.0
989,1.0
990,1.0
991,0.0
992,1.0
993,0.0
994,0.0
995,0.0
996,1.0
997,0.0
998,0.0
999,3.0
1000,0.0
1001,2.0
1002,0.0
1003,0.0
1004,0.0
1005,1.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,1.0
1011,1.0
1012,0.0
1013,2.0
1014,2.0
1015,1.0
1016,0.0
1017,1.0
1018,0.0
1019,1.0
1020,1.0
1021,1.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,2.0
1032,0.0
1033,0.0
1034,0.0
1035,3.0
1036,3.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,1.0
1048,1.0
1049,0.0
1050,3.0
1051,2.0
1052,1.0
1053,3.0
1054,4.0
1055,1.0
1056,1.0
1057,3.0
1058,2.0
1059,1.0
1060,1.0
1061,0.0
1062,1.0
1063,0.0
1064,4.0
1065,1.0
1066,2.0
1067,0.0
1068,2.0
1069,1.0
1070,1.0
1071,0.0
1072,1.0
1073,4.0
1074,2.0
1075,0.0
1076,0.0
1077,0.0
1078,1.0
1079,0.0
1080,2.0
1081,0.0
1082,0.0
