Step,Value
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,1.0
539,1.0
540,0.0
541,1.0
542,0.0
543,2.0
544,0.0
545,0.0
546,0.0
547,2.0
548,0.0
549,0.0
550,1.0
551,0.0
552,0.0
553,1.0
554,1.0
555,0.0
556,0.0
557,0.0
558,0.0
559,2.0
560,0.0
561,0.0
562,0.0
563,1.0
564,1.0
565,2.0
566,2.0
567,1.0
568,0.0
569,2.0
570,0.0
571,0.0
572,0.0
573,1.0
574,0.0
575,2.0
576,1.0
577,0.0
578,0.0
579,1.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,3.0
590,1.0
591,1.0
592,1.0
593,1.0
594,1.0
595,1.0
596,1.0
597,0.0
598,1.0
599,2.0
600,3.0
601,1.0
602,0.0
603,0.0
604,1.0
605,0.0
606,1.0
607,0.0
608,0.0
609,0.0
610,1.0
611,2.0
612,2.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,1.0
620,0.0
621,2.0
622,2.0
623,1.0
624,0.0
625,1.0
626,0.0
627,1.0
628,1.0
629,0.0
630,0.0
631,0.0
632,1.0
633,0.0
634,1.0
635,2.0
636,0.0
637,1.0
638,0.0
639,0.0
640,3.0
641,0.0
642,1.0
643,1.0
644,2.0
645,2.0
646,0.0
647,1.0
648,0.0
649,0.0
650,1.0
651,0.0
652,1.0
653,0.0
654,1.0
655,0.0
656,1.0
657,0.0
658,1.0
659,1.0
660,0.0
661,0.0
662,1.0
663,0.0
664,0.0
665,0.0
666,1.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,1.0
678,0.0
679,1.0
680,0.0
681,2.0
682,2.0
683,4.0
684,2.0
685,1.0
686,2.0
687,0.0
688,0.0
689,0.0
690,0.0
691,1.0
692,0.0
693,1.0
694,0.0
695,0.0
696,2.0
697,1.0
698,1.0
699,1.0
700,1.0
701,0.0
702,0.0
703,0.0
704,1.0
705,0.0
706,1.0
707,0.0
708,1.0
709,1.0
710,0.0
711,2.0
712,0.0
713,2.0
714,3.0
715,1.0
716,0.0
717,1.0
718,0.0
719,1.0
720,0.0
721,0.0
722,1.0
723,1.0
724,1.0
725,0.0
726,0.0
727,4.0
728,4.0
729,1.0
730,1.0
731,1.0
732,1.0
733,1.0
734,2.0
735,1.0
736,2.0
737,1.0
738,1.0
739,2.0
740,0.0
741,2.0
742,1.0
743,1.0
744,1.0
745,2.0
746,1.0
747,1.0
748,3.0
749,3.0
750,1.0
751,0.0
752,1.0
753,0.0
754,1.0
755,2.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,2.0
765,0.0
766,1.0
767,1.0
768,1.0
769,0.0
770,2.0
771,0.0
772,0.0
773,0.0
774,0.0
775,1.0
776,0.0
777,2.0
778,1.0
779,0.0
780,0.0
781,1.0
782,1.0
783,0.0
784,0.0
785,0.0
786,0.0
787,1.0
788,0.0
789,2.0
790,1.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,1.0
800,0.0
801,4.0
802,1.0
803,0.0
804,1.0
805,0.0
806,2.0
807,1.0
808,0.0
809,3.0
810,0.0
811,0.0
812,2.0
813,1.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,1.0
825,1.0
826,0.0
827,1.0
828,1.0
829,1.0
830,1.0
831,0.0
832,2.0
833,1.0
834,3.0
835,0.0
836,0.0
837,3.0
838,0.0
839,0.0
840,2.0
841,2.0
842,5.0
843,3.0
844,1.0
845,0.0
846,0.0
847,1.0
848,1.0
849,1.0
850,0.0
851,0.0
852,2.0
853,0.0
854,0.0
855,3.0
856,3.0
857,1.0
858,1.0
859,0.0
860,0.0
861,1.0
862,0.0
863,0.0
864,1.0
865,1.0
866,0.0
867,0.0
868,1.0
869,1.0
870,0.0
871,1.0
872,1.0
873,1.0
874,2.0
875,0.0
876,0.0
877,0.0
878,0.0
879,1.0
880,2.0
881,0.0
882,2.0
883,3.0
884,3.0
885,2.0
886,2.0
887,2.0
888,2.0
889,0.0
890,3.0
891,2.0
892,2.0
893,0.0
894,0.0
895,1.0
896,2.0
897,2.0
898,0.0
899,1.0
900,3.0
901,1.0
902,1.0
903,0.0
904,2.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,1.0
912,0.0
913,0.0
914,0.0
915,2.0
916,1.0
917,0.0
918,1.0
919,1.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,1.0
928,1.0
929,4.0
930,1.0
931,3.0
932,7.0
933,3.0
934,7.0
935,0.0
936,2.0
937,4.0
938,3.0
939,1.0
940,1.0
941,2.0
942,3.0
943,3.0
944,1.0
945,2.0
946,1.0
947,0.0
948,0.0
949,0.0
950,1.0
951,0.0
952,0.0
953,0.0
954,0.0
955,1.0
956,1.0
957,2.0
958,0.0
959,0.0
960,2.0
961,1.0
962,0.0
963,3.0
964,1.0
965,2.0
966,2.0
967,3.0
968,1.0
969,1.0
970,0.0
971,2.0
972,0.0
973,0.0
