Epoch,Reward
0,105.000000
1,64.000000
2,46.000000
3,39.000000
4,76.000000
5,62.000000
6,6.000000
7,30.000000
8,76.000000
9,83.000000
10,76.000000
11,39.000000
12,30.000000
13,73.000000
14,72.000000
15,46.000000
16,82.000000
17,116.000000
18,105.000000
19,42.000000
20,56.000000
21,117.000000
22,49.000000
23,13.000000
24,75.000000
25,63.000000
26,24.000000
27,82.000000
28,44.000000
29,53.000000
30,43.000000
31,85.000000
32,55.000000
33,14.000000
34,135.000000
35,75.000000
36,61.000000
37,102.000000
38,58.000000
39,56.000000
40,85.000000
41,-1.000000
42,53.000000
43,7.000000
44,72.000000
45,57.000000
46,53.000000
47,87.000000
48,59.000000
49,106.000000
50,75.000000
51,109.000000
52,81.000000
53,26.000000
54,0.000000
55,27.000000
56,64.000000
57,63.000000
58,77.000000
59,87.000000
60,125.000000
61,13.000000
62,58.000000
63,79.000000
64,54.000000
65,72.000000
66,55.000000
67,52.000000
68,48.000000
69,89.000000
70,33.000000
71,58.000000
72,95.000000
73,107.000000
74,84.000000
75,37.000000
76,18.000000
77,84.000000
78,59.000000
79,74.000000
80,74.000000
81,39.000000
82,54.000000
83,12.000000
84,38.000000
85,21.000000
86,101.000000
87,94.000000
88,63.000000
89,150.000000
90,77.000000
91,73.000000
92,31.000000
93,78.000000
94,31.000000
95,59.000000
96,52.000000
97,10.000000
98,84.000000
99,59.000000
100,60.000000
101,35.000000
102,28.000000
103,78.000000
104,49.000000
105,52.000000
106,77.000000
107,59.000000
108,18.000000
109,140.000000
110,39.000000
111,71.000000
112,32.000000
113,10.000000
114,31.000000
115,83.000000
116,30.000000
117,35.000000
118,54.000000
119,64.000000
120,57.000000
121,57.000000
122,115.000000
123,31.000000
124,109.000000
125,105.000000
126,38.000000
127,30.000000
128,48.000000
129,60.000000
130,93.000000
131,76.000000
132,43.000000
133,93.000000
134,78.000000
135,76.000000
136,84.000000
137,36.000000
138,53.000000
139,55.000000
140,54.000000
141,58.000000
142,89.000000
143,70.000000
144,86.000000
145,123.000000
146,65.000000
147,93.000000
148,65.000000
149,77.000000
150,58.000000
151,72.000000
152,82.000000
153,50.000000
154,87.000000
155,139.000000
156,79.000000
157,16.000000
158,49.000000
159,90.000000
160,42.000000
161,3.000000
162,53.000000
163,3.000000
164,61.000000
165,17.000000
166,8.000000
167,82.000000
168,101.000000
169,68.000000
170,41.000000
171,9.000000
172,47.000000
173,75.000000
174,55.000000
175,28.000000
176,79.000000
177,57.000000
178,62.000000
179,113.000000
180,52.000000
181,35.000000
182,23.000000
183,47.000000
184,43.000000
185,35.000000
186,46.000000
187,62.000000
188,52.000000
189,95.000000
190,95.000000
191,73.000000
192,28.000000
193,60.000000
194,58.000000
195,56.000000
196,15.000000
197,45.000000
198,67.000000
199,71.000000
200,40.000000
201,101.000000
202,61.000000
203,55.000000
204,50.000000
205,55.000000
206,56.000000
207,45.000000
208,72.000000
209,76.000000
210,37.000000
211,126.000000
212,72.000000
213,88.000000
214,45.000000
215,79.000000
216,67.000000
217,27.000000
218,23.000000
219,42.000000
220,36.000000
221,38.000000
222,88.000000
223,22.000000
224,74.000000
225,33.000000
226,76.000000
227,56.000000
228,65.000000
229,2.000000
230,148.000000
231,46.000000
232,39.000000
233,19.000000
234,67.000000
235,37.000000
236,65.000000
237,67.000000
238,35.000000
239,54.000000
240,90.000000
241,23.000000
242,20.000000
243,59.000000
244,83.000000
245,46.000000
246,16.000000
247,65.000000
248,56.000000
249,79.000000
250,109.000000
251,8.000000
252,20.000000
253,32.000000
254,17.000000
255,86.000000
256,11.000000
257,61.000000
258,124.000000
259,75.000000
260,65.000000
261,50.000000
262,53.000000
263,76.000000
264,97.000000
265,68.000000
266,24.000000
267,45.000000
268,27.000000
269,37.000000
270,57.000000
271,82.000000
272,103.000000
273,63.000000
274,42.000000
275,45.000000
276,41.000000
277,28.000000
278,70.000000
279,43.000000
280,122.000000
281,80.000000
282,74.000000
283,64.000000
284,59.000000
285,9.000000
286,56.000000
287,73.000000
288,86.000000
289,74.000000
290,75.000000
291,86.000000
292,47.000000
293,80.000000
294,51.000000
295,78.000000
296,5.000000
297,37.000000
298,35.000000
299,34.000000
300,66.000000
301,56.000000
302,93.000000
303,84.000000
304,67.000000
305,74.000000
306,73.000000
307,31.000000
308,42.000000
309,45.000000
310,31.000000
311,66.000000
312,49.000000
313,21.000000
314,16.000000
315,39.000000
316,24.000000
317,70.000000
318,102.000000
319,33.000000
320,34.000000
321,77.000000
322,7.000000
323,129.000000
324,12.000000
325,78.000000
326,49.000000
327,47.000000
328,39.000000
329,76.000000
330,87.000000
331,24.000000
332,67.000000
333,64.000000
334,57.000000
335,56.000000
336,84.000000
337,54.000000
338,84.000000
339,66.000000
340,70.000000
341,51.000000
342,30.000000
343,59.000000
344,57.000000
345,35.000000
346,88.000000
347,29.000000
348,58.000000
349,66.000000
350,57.000000
351,50.000000
352,57.000000
353,55.000000
354,77.000000
355,74.000000
356,66.000000
357,57.000000
358,34.000000
359,95.000000
360,20.000000
361,56.000000
362,91.000000
363,37.000000
364,115.000000
365,93.000000
366,83.000000
367,62.000000
368,80.000000
369,53.000000
370,13.000000
371,63.000000
372,38.000000
373,66.000000
374,72.000000
375,73.000000
376,64.000000
377,7.000000
378,52.000000
379,62.000000
380,55.000000
381,63.000000
382,79.000000
383,90.000000
384,48.000000
385,62.000000
386,52.000000
387,23.000000
388,76.000000
389,42.000000
390,92.000000
391,54.000000
392,52.000000
393,51.000000
394,76.000000
395,25.000000
396,10.000000
397,72.000000
398,14.000000
399,68.000000
400,42.000000
401,30.000000
402,32.000000
403,35.000000
404,18.000000
405,45.000000
406,82.000000
407,54.000000
408,67.000000
409,49.000000
410,44.000000
411,73.000000
412,108.000000
413,53.000000
414,81.000000
415,36.000000
416,88.000000
417,18.000000
418,8.000000
419,87.000000
420,62.000000
421,-1.000000
422,19.000000
423,54.000000
424,79.000000
425,105.000000
426,99.000000
427,44.000000
428,107.000000
429,62.000000
430,96.000000
431,52.000000
432,76.000000
433,90.000000
434,37.000000
435,36.000000
436,65.000000
437,116.000000
438,71.000000
439,32.000000
440,112.000000
441,66.000000
442,39.000000
443,48.000000
444,51.000000
445,87.000000
446,69.000000
447,40.000000
448,15.000000
449,40.000000
450,38.000000
451,70.000000
452,33.000000
453,57.000000
454,60.000000
455,69.000000
456,55.000000
457,71.000000
458,89.000000
459,88.000000
460,65.000000
461,94.000000
462,49.000000
463,46.000000
464,76.000000
465,78.000000
466,63.000000
467,12.000000
468,99.000000
469,5.000000
470,-3.000000
471,95.000000
472,77.000000
473,50.000000
474,77.000000
475,49.000000
476,36.000000
477,24.000000
478,50.000000
479,60.000000
480,81.000000
481,45.000000
482,46.000000
483,60.000000
484,67.000000
485,98.000000
486,57.000000
487,37.000000
488,78.000000
489,44.000000
490,53.000000
491,83.000000
492,31.000000
493,7.000000
494,74.000000
495,61.000000
496,67.000000
497,16.000000
498,53.000000
499,47.000000
500,50.000000
501,106.000000
502,38.000000
503,68.000000
504,37.000000
505,41.000000
506,40.000000
507,49.000000
508,53.000000
509,37.000000
510,35.000000
511,93.000000
512,80.000000
513,64.000000
514,60.000000
515,55.000000
516,88.000000
517,41.000000
518,22.000000
519,52.000000
520,112.000000
521,68.000000
522,50.000000
523,35.000000
524,58.000000
525,71.000000
526,82.000000
527,12.000000
528,76.000000
529,27.000000
530,79.000000
531,38.000000
532,70.000000
533,31.000000
534,5.000000
535,104.000000
536,68.000000
537,57.000000
538,76.000000
539,97.000000
540,103.000000
541,77.000000
542,90.000000
543,42.000000
544,49.000000
545,36.000000
546,70.000000
547,56.000000
548,65.000000
549,61.000000
550,48.000000
551,73.000000
552,98.000000
553,86.000000
554,28.000000
555,28.000000
556,81.000000
557,76.000000
558,27.000000
559,57.000000
560,72.000000
561,74.000000
562,38.000000
563,11.000000
564,58.000000
565,98.000000
566,69.000000
567,83.000000
568,86.000000
569,78.000000
570,55.000000
571,60.000000
572,41.000000
573,54.000000
574,76.000000
575,2.000000
576,62.000000
577,75.000000
578,26.000000
579,28.000000
580,75.000000
581,51.000000
582,67.000000
583,86.000000
584,52.000000
585,85.000000
586,69.000000
587,59.000000
588,47.000000
589,67.000000
590,80.000000
591,55.000000
592,75.000000
593,70.000000
594,56.000000
595,33.000000
596,88.000000
597,49.000000
598,47.000000
599,71.000000
600,22.000000
601,79.000000
602,81.000000
603,54.000000
604,54.000000
605,86.000000
606,32.000000
607,41.000000
608,105.000000
609,55.000000
610,37.000000
611,32.000000
612,62.000000
613,48.000000
614,6.000000
615,89.000000
616,62.000000
617,86.000000
618,29.000000
619,53.000000
620,52.000000
621,40.000000
622,72.000000
623,43.000000
624,82.000000
625,32.000000
626,47.000000
627,31.000000
628,122.000000
629,34.000000
630,74.000000
631,52.000000
632,36.000000
633,80.000000
634,53.000000
635,85.000000
636,67.000000
637,76.000000
638,104.000000
639,48.000000
640,62.000000
641,29.000000
642,45.000000
643,54.000000
644,107.000000
645,55.000000
646,82.000000
647,58.000000
648,53.000000
649,61.000000
650,48.000000
651,59.000000
652,67.000000
653,32.000000
654,55.000000
655,59.000000
656,64.000000
657,39.000000
658,88.000000
659,21.000000
660,61.000000
661,119.000000
662,40.000000
663,121.000000
664,20.000000
665,38.000000
666,65.000000
667,69.000000
668,55.000000
669,37.000000
670,62.000000
671,39.000000
672,38.000000
673,110.000000
674,28.000000
675,23.000000
676,63.000000
677,76.000000
678,66.000000
679,53.000000
680,96.000000
681,76.000000
682,96.000000
683,36.000000
684,64.000000
685,70.000000
686,17.000000
687,61.000000
688,117.000000
689,68.000000
690,72.000000
691,58.000000
692,75.000000
693,42.000000
694,45.000000
695,35.000000
696,70.000000
697,48.000000
698,89.000000
699,45.000000
700,62.000000
701,8.000000
702,20.000000
703,77.000000
704,53.000000
705,45.000000
706,54.000000
707,75.000000
708,51.000000
709,68.000000
710,75.000000
711,55.000000
712,8.000000
713,5.000000
714,63.000000
715,3.000000
716,106.000000
717,90.000000
718,44.000000
719,33.000000
720,53.000000
721,106.000000
722,37.000000
723,65.000000
724,96.000000
725,35.000000
726,54.000000
727,44.000000
728,57.000000
729,63.000000
730,73.000000
731,36.000000
732,18.000000
733,71.000000
734,122.000000
735,62.000000
736,97.000000
737,68.000000
738,50.000000
739,59.000000
740,66.000000
741,67.000000
742,39.000000
743,44.000000
744,101.000000
745,62.000000
746,106.000000
747,46.000000
748,44.000000
749,92.000000
750,61.000000
751,12.000000
752,129.000000
753,52.000000
754,53.000000
755,78.000000
756,62.000000
757,71.000000
758,45.000000
759,65.000000
760,94.000000
761,54.000000
762,63.000000
763,42.000000
764,35.000000
765,65.000000
766,48.000000
767,40.000000
768,42.000000
769,52.000000
770,69.000000
771,30.000000
772,86.000000
773,51.000000
774,28.000000
775,35.000000
776,33.000000
777,73.000000
778,4.000000
779,54.000000
780,30.000000
781,80.000000
782,44.000000
783,33.000000
784,29.000000
785,73.000000
786,103.000000
787,39.000000
788,101.000000
789,54.000000
790,120.000000
791,2.000000
792,88.000000
793,60.000000
794,136.000000
795,83.000000
796,54.000000
797,89.000000
798,73.000000
799,88.000000
800,78.000000
801,106.000000
802,68.000000
803,83.000000
804,44.000000
805,68.000000
806,73.000000
807,62.000000
808,113.000000
809,40.000000
810,59.000000
811,21.000000
812,19.000000
813,75.000000
814,128.000000
815,101.000000
816,72.000000
817,102.000000
818,68.000000
819,33.000000
820,93.000000
821,33.000000
822,83.000000
823,8.000000
824,47.000000
825,69.000000
826,58.000000
827,86.000000
828,88.000000
829,90.000000
830,24.000000
831,45.000000
832,30.000000
833,18.000000
834,44.000000
835,34.000000
836,58.000000
837,74.000000
838,55.000000
839,10.000000
840,78.000000
841,15.000000
842,120.000000
843,76.000000
844,54.000000
845,61.000000
846,65.000000
847,54.000000
848,105.000000
849,-18.000000
850,66.000000
851,73.000000
852,93.000000
853,66.000000
854,67.000000
855,55.000000
856,53.000000
857,127.000000
858,69.000000
859,104.000000
860,75.000000
861,55.000000
862,101.000000
863,46.000000
864,49.000000
865,46.000000
866,76.000000
867,15.000000
868,85.000000
869,56.000000
870,22.000000
871,33.000000
872,13.000000
873,43.000000
874,73.000000
875,67.000000
876,64.000000
877,42.000000
878,36.000000
879,135.000000
880,67.000000
881,48.000000
882,29.000000
883,35.000000
884,65.000000
885,30.000000
886,45.000000
887,62.000000
888,39.000000
889,27.000000
890,40.000000
891,60.000000
892,59.000000
893,100.000000
894,91.000000
895,62.000000
896,79.000000
897,68.000000
898,98.000000
899,20.000000
900,55.000000
901,100.000000
902,76.000000
903,51.000000
904,19.000000
905,85.000000
906,77.000000
907,63.000000
908,78.000000
909,69.000000
910,74.000000
911,69.000000
912,61.000000
913,69.000000
914,43.000000
915,113.000000
916,79.000000
917,31.000000
918,100.000000
919,70.000000
920,18.000000
921,91.000000
922,87.000000
923,67.000000
924,36.000000
925,77.000000
926,56.000000
927,47.000000
928,60.000000
929,84.000000
930,43.000000
931,58.000000
932,55.000000
933,26.000000
934,29.000000
935,88.000000
936,46.000000
937,41.000000
938,17.000000
939,54.000000
940,51.000000
941,81.000000
942,4.000000
943,43.000000
944,70.000000
945,11.000000
946,43.000000
947,69.000000
948,122.000000
949,25.000000
950,23.000000
951,51.000000
952,65.000000
953,29.000000
954,86.000000
955,112.000000
956,43.000000
957,54.000000
958,90.000000
959,40.000000
960,66.000000
961,77.000000
962,77.000000
963,55.000000
964,55.000000
965,54.000000
966,42.000000
967,61.000000
968,71.000000
969,28.000000
970,76.000000
971,75.000000
972,84.000000
973,87.000000
974,37.000000
975,81.000000
976,66.000000
977,73.000000
978,11.000000
979,43.000000
980,42.000000
981,52.000000
982,79.000000
983,80.000000
984,96.000000
985,62.000000
986,56.000000
987,104.000000
988,18.000000
989,22.000000
990,71.000000
991,8.000000
992,94.000000
993,107.000000
994,19.000000
995,43.000000
996,95.000000
997,93.000000
998,42.000000
999,82.000000
