================================================================================
PPO_LSTM TRAINING RESULTS - 10000 EPOCHS
================================================================================
Generated: 2026-01-20 15:47:34
Model Type: ppo_lstm
Epochs: 10000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
--------------------------------------------------------------------------------
0        366.056297      101.00      
1        303.496849      95.00       
2        144.359692      70.00       
3        232.042267      82.00       
4        707.706604      157.00      
5        184.011513      78.00       
6        221.968517      98.00       
7        440.755463      147.00      
8        58.973613       21.00       
9        475.043625      142.00      
10       298.041779      119.00      
11       57.599655       55.00       
12       30.014345       34.00       
13       35.872847       55.00       
14       25.629886       44.00       
15       66.636612       61.00       
16       209.352016      100.00      
17       50.391638       47.00       
18       85.754848       69.00       
19       45.661049       54.00       
20       47.301793       20.00       
21       59.344653       38.00       
22       73.538568       34.00       
23       81.201672       -10.00      
24       80.804873       51.00       
25       63.327058       22.00       
26       32.945079       30.00       
27       89.227287       60.00       
28       66.969076       10.00       
29       45.540335       15.00       
30       81.326885       4.00        
31       100.333441      16.00       
32       37.112020       29.00       
33       67.882627       4.00        
34       52.856895       17.00       
35       607.922211      175.00      
36       196.656303      103.00      
37       39.985093       62.00       
38       53.386854       59.00       
39       114.956528      56.00       
40       130.160500      99.00       
41       266.576073      120.00      
42       220.846409      82.00       
43       459.393860      108.00      
44       34.777851       41.00       
45       199.367218      84.00       
46       151.104816      101.00      
47       36.508327       44.00       
48       27.917152       39.00       
49       61.347881       36.00       
50       47.188783       26.00       
51       77.997187       81.00       
52       98.963339       -17.00      
53       30.301139       28.00       
54       73.183731       -6.00       
55       49.969248       46.00       
56       63.269977       32.00       
57       204.986629      113.00      
58       144.894459      80.00       
59       49.353579       22.00       
60       88.523291       -8.00       
61       235.560726      114.00      
62       62.769733       48.00       
63       89.989895       62.00       
64       157.213654      98.00       
65       173.479160      41.00       
66       189.403477      89.00       
67       59.394376       53.00       
68       238.877041      94.00       
69       120.879177      69.00       
70       412.653091      122.00      
71       44.216828       16.00       
72       195.664848      79.00       
73       84.952084       81.00       
74       791.256683      187.00      
75       96.336086       69.00       
76       270.038277      108.00      
77       261.273933      120.00      
78       144.230122      93.00       
79       287.788818      127.00      
80       116.098341      64.00       
81       108.982258      86.00       
82       238.297443      106.00      
83       101.291729      48.00       
84       65.849237       50.00       
85       203.537334      97.00       
86       233.254776      124.00      
87       247.536476      111.00      
88       91.000370       60.00       
89       394.663063      133.00      
90       74.739208       90.00       
91       139.236797      89.00       
92       92.751040       38.00       
93       378.021202      132.00      
94       177.458458      119.00      
95       82.549246       42.00       
96       198.629391      72.00       
97       66.911243       23.00       
98       326.318550      135.00      
99       419.946838      141.00      
100      104.803947      56.00       
101      400.367287      138.00      
102      38.553205       51.00       
103      103.843384      57.00       
104      79.751904       97.00       
105      169.617489      78.00       
106      324.868385      118.00      
107      160.538097      92.00       
108      405.941628      119.00      
109      46.485985       75.00       
110      199.666603      68.00       
111      188.903191      22.00       
112      150.334724      9.00        
113      337.645660      113.00      
114      85.466255       44.00       
115      39.918296       30.00       
116      277.982056      134.00      
117      92.973009       43.00       
118      302.182899      114.00      
119      115.336449      38.00       
120      59.485641       49.00       
121      67.167717       51.00       
122      119.833736      54.00       
123      123.587309      85.00       
124      186.811619      79.00       
125      218.295891      91.00       
126      246.905853      60.00       
127      63.348898       42.00       
128      252.455875      92.00       
129      262.963188      140.00      
130      143.473606      69.00       
131      386.603004      118.00      
132      146.782310      97.00       
133      205.601288      79.00       
134      128.500984      77.00       
135      134.667549      73.00       
136      154.754593      -8.00       
137      147.297832      95.00       
138      185.556732      114.00      
139      291.652985      101.00      
140      119.477856      40.00       
141      195.811794      102.00      
142      110.653774      70.00       
143      461.362831      148.00      
144      135.811123      99.00       
145      489.707314      162.00      
146      141.477928      118.00      
147      163.055195      85.00       
148      102.529263      31.00       
149      218.853363      82.00       
150      77.244213       86.00       
151      78.927660       59.00       
152      112.537395      97.00       
153      75.415686       40.00       
154      271.591423      96.00       
155      211.920494      64.00       
156      177.478714      53.00       
157      68.496851       20.00       
158      82.162798       23.00       
159      102.418356      33.00       
160      143.108978      42.00       
161      111.938320      23.00       
162      241.582127      -21.00      
163      201.932247      11.00       
164      73.281668       62.00       
165      101.145361      29.00       
166      141.073231      95.00       
167      104.964645      73.00       
168      95.927557       50.00       
169      95.073608       70.00       
170      150.893280      27.00       
171      33.718491       66.00       
172      48.201891       77.00       
173      359.393578      146.00      
174      154.655750      77.00       
175      178.665699      115.00      
176      100.154644      77.00       
177      194.353436      94.00       
178      109.397932      77.00       
179      222.873756      102.00      
180      161.405624      64.00       
181      98.185352       20.00       
182      139.941578      6.00        
183      112.525341      34.00       
184      88.816402       33.00       
185      153.307602      70.00       
186      235.498650      57.00       
187      66.136581       55.00       
188      58.732489       38.00       
189      124.319113      23.00       
190      154.517147      9.00        
191      229.577583      -10.00      
192      137.735085      15.00       
193      116.302340      73.00       
194      246.266422      -22.00      
195      144.562065      1.00        
196      118.115023      33.00       
197      130.747742      7.00        
198      111.097469      9.00        
199      52.025101       33.00       
200      162.285137      29.00       
201      139.744522      69.00       
202      113.256556      79.00       
203      74.055956       5.00        
204      60.200525       39.00       
205      107.215124      25.00       
206      70.252964       90.00       
207      251.740360      111.00      
208      208.547058      102.00      
209      59.029362       70.00       
210      79.430063       29.00       
211      156.962925      62.00       
212      103.027664      27.00       
213      118.106245      55.00       
214      231.798523      114.00      
215      250.904163      122.00      
216      302.433922      147.00      
217      54.739244       76.00       
218      381.901939      124.00      
219      104.940580      44.00       
220      127.115736      84.00       
221      191.646992      125.00      
222      126.750879      82.00       
223      90.993032       53.00       
224      550.321945      165.00      
225      151.177563      65.00       
226      83.080454       58.00       
227      121.208298      53.00       
228      97.657589       94.00       
229      171.018200      95.00       
230      92.528824       28.00       
231      92.296101       34.00       
232      105.242691      6.00        
233      98.061686       37.00       
234      72.314899       39.00       
235      225.311203      88.00       
236      68.585354       33.00       
237      123.487299      65.00       
238      55.099483       39.00       
239      65.753540       37.00       
240      107.275183      23.00       
241      119.888779      82.00       
242      100.467760      19.00       
243      166.957901      -24.00      
244      87.171732       -3.00       
245      104.037682      30.00       
246      104.017912      100.00      
247      83.128132       -14.00      
248      118.432497      68.00       
249      107.434496      81.00       
250      463.003250      113.00      
251      59.008159       44.00       
252      97.972427       78.00       
253      109.232332      21.00       
254      97.264111       49.00       
255      84.586222       29.00       
256      49.513177       64.00       
257      62.446989       18.00       
258      210.412361      111.00      
259      216.385612      103.00      
260      463.697678      131.00      
261      341.019279      146.00      
262      54.156738       50.00       
263      57.856907       10.00       
264      197.391308      121.00      
265      58.996538       45.00       
266      32.299933       29.00       
267      83.184357       78.00       
268      339.302895      135.00      
269      282.496666      98.00       
270      138.040638      81.00       
271      20.945692       34.00       
272      147.391628      66.00       
273      74.778547       44.00       
274      145.955429      82.00       
275      204.462059      103.00      
276      105.193239      97.00       
277      19.602662       36.00       
278      78.786818       87.00       
279      145.807198      79.00       
280      128.171736      50.00       
281      31.650309       44.00       
282      97.537373       62.00       
283      312.225906      134.00      
284      279.777977      139.00      
285      84.841829       97.00       
286      218.984406      115.00      
287      222.256172      116.00      
288      98.351059       80.00       
289      277.308708      119.00      
290      174.109699      86.00       
291      46.580923       66.00       
292      79.958950       38.00       
293      134.465374      69.00       
294      156.738945      77.00       
295      178.731014      85.00       
296      167.833855      20.00       
297      55.098516       37.00       
298      270.390076      -17.00      
299      121.229998      36.00       
300      195.781322      71.00       
301      234.437424      -34.00      
302      137.492882      57.00       
303      53.097011       58.00       
304      94.954645       29.00       
305      84.297501       89.00       
306      25.233619       72.00       
307      102.115839      61.00       
308      82.881256       64.00       
309      112.923002      62.00       
310      57.469330       45.00       
311      190.558365      60.00       
312      114.875210      95.00       
313      182.003883      85.00       
314      569.967285      133.00      
315      85.897676       64.00       
316      299.663193      127.00      
317      49.088454       50.00       
318      436.634995      142.00      
319      122.553171      53.00       
320      142.221676      82.00       
321      175.348648      111.00      
322      151.403004      87.00       
323      138.932129      99.00       
324      210.622890      74.00       
325      133.338072      5.00        
326      155.382305      80.00       
327      165.331192      38.00       
328      207.525890      52.00       
329      142.140663      105.00      
330      239.131073      112.00      
331      209.355602      58.00       
332      398.181511      127.00      
333      232.010300      65.00       
334      324.446495      142.00      
335      150.246597      105.00      
336      386.272697      139.00      
337      134.841782      33.00       
338      110.288744      48.00       
339      287.012474      113.00      
340      155.157600      85.00       
341      395.013298      146.00      
342      85.060093       72.00       
343      138.906429      67.00       
344      300.527878      135.00      
345      182.606983      96.00       
346      141.733452      50.00       
347      129.933983      64.00       
348      134.998150      91.00       
349      144.111610      85.00       
350      221.956646      126.00      
351      174.565361      110.00      
352      238.555515      115.00      
353      177.724960      88.00       
354      354.646919      143.00      
355      115.763365      94.00       
356      326.310898      122.00      
357      115.277740      43.00       
358      158.731243      81.00       
359      62.603232       67.00       
360      323.803230      118.00      
361      81.415543       106.00      
362      204.957649      94.00       
363      371.292099      140.00      
364      96.257023       109.00      
365      340.323532      139.00      
366      127.564177      115.00      
367      246.164307      122.00      
368      105.285799      75.00       
369      169.688477      95.00       
370      460.554024      159.00      
371      242.285210      133.00      
372      176.924664      62.00       
373      270.569641      32.00       
374      144.312809      28.00       
375      238.998432      102.00      
376      154.398914      91.00       
377      58.127179       53.00       
378      150.572903      33.00       
379      101.876450      89.00       
380      155.332253      106.00      
381      229.553715      127.00      
382      205.907337      106.00      
383      88.575752       28.00       
384      135.844410      96.00       
385      227.548382      116.00      
386      126.644228      59.00       
387      102.955095      77.00       
388      180.755749      93.00       
389      447.932823      106.00      
390      259.991508      76.00       
391      86.730938       80.00       
392      125.771383      60.00       
393      145.300518      76.00       
394      269.109131      102.00      
395      152.213120      45.00       
396      313.642296      113.00      
397      144.343662      48.00       
398      136.296116      75.00       
399      174.478249      79.00       
400      242.427494      52.00       
401      171.664799      126.00      
402      261.271713      86.00       
403      204.280186      83.00       
404      216.733040      93.00       
405      456.801491      187.00      
406      433.244774      158.00      
407      304.412292      110.00      
408      126.363457      67.00       
409      99.256287       107.00      
410      89.791412       38.00       
411      120.560671      61.00       
412      202.993233      47.00       
413      131.175728      66.00       
414      249.703842      9.00        
415      290.030991      -20.00      
416      188.545288      35.00       
417      180.984150      2.00        
418      128.414650      73.00       
419      125.851927      110.00      
420      165.669312      99.00       
421      284.437149      147.00      
422      123.330706      86.00       
423      116.116966      85.00       
424      152.887615      125.00      
425      363.803329      140.00      
426      381.809128      114.00      
427      233.830013      95.00       
428      212.232395      45.00       
429      299.919655      93.00       
430      647.333221      158.00      
431      150.592434      69.00       
432      334.403236      138.00      
433      89.863489       61.00       
434      219.967178      34.00       
435      104.160257      80.00       
436      97.610161       36.00       
437      60.242765       65.00       
438      184.734615      80.00       
439      416.335602      128.00      
440      232.587769      81.00       
441      76.709566       38.00       
442      89.097595       86.00       
443      148.025463      12.00       
444      116.343977      67.00       
445      229.457489      82.00       
446      82.129099       20.00       
447      176.103325      50.00       
448      91.721432       38.00       
449      220.721268      120.00      
450      111.838015      25.00       
451      29.487828       81.00       
452      117.965921      45.00       
453      71.806139       68.00       
454      123.780863      30.00       
455      177.851498      4.00        
456      200.688725      45.00       
457      113.606548      -8.00       
458      107.546618      -4.00       
459      145.514206      18.00       
