================================================================================
PPO_LSTM TRAINING RESULTS - 40000 EPOCHS
================================================================================
Generated: 2026-01-20 17:32:38
Model Type: ppo_lstm
Epochs: 40000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
248      33.681378       38.00       
249      29.845354       15.00       
250      28.578675       3.00        
251      35.936397       23.00       
252      11.904610       26.00       
253      23.794168       19.00       
254      97.133017       58.00       
255      10.921929       11.00       
256      49.156577       39.00       
257      25.431136       4.00        
258      27.062840       22.00       
259      69.159973       46.00       
260      19.945031       34.00       
261      21.757577       29.00       
262      21.458508       5.00        
263      19.542861       20.00       
264      62.570509       41.00       
265      113.306372      60.00       
266      22.595547       5.00        
267      13.239827       38.00       
268      32.383362       36.00       
269      75.054419       60.00       
270      99.575682       68.00       
271      35.820552       33.00       
272      44.789989       45.00       
273      32.197967       35.00       
274      9.891805        11.00       
275      42.411347       -14.00      
276      29.018122       7.00        
277      15.166924       12.00       
278      38.206956       -10.00      
279      25.792790       24.00       
280      22.565153       13.00       
281      56.252728       42.00       
282      18.390127       4.00        
283      41.617488       -15.00      
284      49.544584       47.00       
285      34.574078       -16.00      
286      34.933351       -17.00      
287      12.362606       25.00       
288      9.203492        2.00        
289      11.538543       9.00        
290      18.739040       37.00       
291      12.762982       17.00       
292      189.580112      84.00       
293      117.131502      58.00       
294      16.557628       16.00       
295      15.840138       -4.00       
296      8.956025        12.00       
297      39.139384       26.00       
298      19.728903       21.00       
299      55.521864       32.00       
300      12.110979       -2.00       
301      81.342628       65.00       
302      16.088748       -7.00       
303      7.138730        10.00       
304      28.106910       22.00       
305      37.862129       37.00       
306      18.795251       -8.00       
307      378.079384      116.00      
308      73.680782       52.00       
309      123.355143      77.00       
310      25.567895       28.00       
311      187.385040      70.00       
312      54.632380       39.00       
313      22.410532       37.00       
314      14.305777       4.00        
315      44.390600       -15.00      
316      16.095297       36.00       
317      48.727728       47.00       
318      19.407752       22.00       
319      12.093166       23.00       
320      17.933850       18.00       
321      11.341167       16.00       
322      21.036933       8.00        
323      17.429843       18.00       
324      19.693422       15.00       
325      12.005338       15.00       
326      39.331772       38.00       
327      105.514683      74.00       
328      44.595014       40.00       
329      27.607969       38.00       
330      7.582882        9.00        
331      91.511145       66.00       
332      16.920546       25.00       
333      9.111415        16.00       
334      14.200159       13.00       
335      19.126665       10.00       
336      18.422652       29.00       
337      19.919263       3.00        
338      8.197307        15.00       
339      11.282022       24.00       
340      28.526356       12.00       
341      26.575699       29.00       
342      29.366702       34.00       
343      25.829272       -7.00       
344      27.364442       35.00       
345      21.611006       18.00       
346      55.821606       42.00       
347      22.821996       4.00        
348      14.153946       10.00       
349      52.809065       39.00       
350      18.150006       13.00       
351      11.825280       5.00        
352      32.007298       33.00       
353      19.680996       17.00       
354      28.448741       29.00       
355      21.261667       28.00       
356      25.130382       40.00       
357      11.780323       24.00       
358      49.163095       35.00       
359      38.422884       38.00       
360      25.128463       -2.00       
361      171.338577      79.00       
362      40.164204       46.00       
363      67.470375       56.00       
364      49.334693       57.00       
365      29.711611       23.00       
366      31.574136       33.00       
