Epoch,Reward
0,26.000000
1,10.000000
2,5.000000
3,28.000000
4,-3.000000
5,-19.000000
6,3.000000
7,3.000000
8,65.000000
9,20.000000
10,13.000000
11,-27.000000
12,5.000000
13,30.000000
14,20.000000
15,75.000000
16,36.000000
17,14.000000
18,17.000000
19,22.000000
20,9.000000
21,5.000000
22,-30.000000
23,-30.000000
24,-40.000000
25,-30.000000
26,-26.000000
27,-15.000000
28,-16.000000
29,-12.000000
30,-1.000000
31,-4.000000
32,14.000000
33,-17.000000
34,38.000000
35,21.000000
36,42.000000
37,53.000000
38,-7.000000
39,20.000000
40,64.000000
41,54.000000
42,21.000000
43,27.000000
44,11.000000
45,37.000000
46,6.000000
47,3.000000
48,-21.000000
49,-6.000000
50,11.000000
51,7.000000
52,12.000000
53,9.000000
54,-12.000000
55,-13.000000
56,12.000000
57,29.000000
58,-12.000000
59,4.000000
60,38.000000
61,-1.000000
62,31.000000
63,27.000000
64,2.000000
65,29.000000
66,9.000000
67,4.000000
68,-12.000000
69,6.000000
70,57.000000
71,34.000000
72,46.000000
73,63.000000
74,67.000000
75,12.000000
76,3.000000
77,-9.000000
78,10.000000
79,12.000000
80,28.000000
81,36.000000
82,39.000000
83,35.000000
84,-1.000000
85,-1.000000
86,32.000000
87,10.000000
88,26.000000
89,23.000000
90,20.000000
91,66.000000
92,48.000000
93,19.000000
94,68.000000
95,36.000000
96,48.000000
97,60.000000
98,-1.000000
99,34.000000
100,28.000000
101,-8.000000
102,2.000000
103,4.000000
104,22.000000
105,-20.000000
106,26.000000
107,16.000000
108,27.000000
109,37.000000
110,35.000000
111,21.000000
112,-5.000000
113,35.000000
114,-9.000000
115,7.000000
116,54.000000
117,3.000000
118,-1.000000
119,-7.000000
120,30.000000
121,37.000000
122,17.000000
123,27.000000
124,28.000000
125,31.000000
126,-4.000000
127,13.000000
128,-13.000000
129,-1.000000
130,19.000000
131,4.000000
132,-4.000000
133,5.000000
134,7.000000
135,25.000000
136,7.000000
137,11.000000
138,47.000000
139,44.000000
140,49.000000
141,14.000000
142,0.000000
143,-2.000000
144,28.000000
145,15.000000
146,-1.000000
147,-6.000000
148,7.000000
149,-10.000000
150,3.000000
151,33.000000
152,33.000000
153,43.000000
154,16.000000
155,13.000000
156,33.000000
157,23.000000
158,14.000000
159,4.000000
160,15.000000
161,-15.000000
162,44.000000
163,-4.000000
164,15.000000
165,63.000000
166,0.000000
167,30.000000
168,14.000000
169,5.000000
170,2.000000
171,17.000000
172,47.000000
173,39.000000
174,24.000000
175,39.000000
176,66.000000
177,46.000000
178,18.000000
179,61.000000
180,32.000000
181,-9.000000
182,48.000000
183,0.000000
184,42.000000
185,0.000000
186,-4.000000
187,-19.000000
188,-3.000000
189,-1.000000
190,39.000000
191,5.000000
192,46.000000
193,51.000000
194,36.000000
195,20.000000
196,-2.000000
197,39.000000
198,-3.000000
199,12.000000
200,3.000000
201,43.000000
202,29.000000
203,48.000000
204,60.000000
205,23.000000
206,38.000000
207,29.000000
208,58.000000
209,45.000000
210,21.000000
211,24.000000
212,32.000000
213,3.000000
214,-13.000000
215,-23.000000
216,13.000000
217,-22.000000
218,-16.000000
219,-13.000000
220,-13.000000
221,-27.000000
222,-4.000000
223,-15.000000
224,13.000000
225,8.000000
226,31.000000
227,23.000000
228,16.000000
229,69.000000
230,15.000000
231,25.000000
232,15.000000
233,23.000000
234,29.000000
235,86.000000
236,18.000000
237,84.000000
238,19.000000
239,20.000000
240,66.000000
241,50.000000
242,55.000000
243,53.000000
244,39.000000
245,37.000000
246,35.000000
247,23.000000
248,38.000000
249,15.000000
250,3.000000
251,23.000000
252,26.000000
253,19.000000
254,58.000000
255,11.000000
256,39.000000
257,4.000000
258,22.000000
259,46.000000
260,34.000000
261,29.000000
262,5.000000
263,20.000000
264,41.000000
265,60.000000
266,5.000000
267,38.000000
268,36.000000
269,60.000000
270,68.000000
271,33.000000
272,45.000000
273,35.000000
274,11.000000
275,-14.000000
276,7.000000
277,12.000000
278,-10.000000
279,24.000000
280,13.000000
281,42.000000
282,4.000000
283,-15.000000
284,47.000000
285,-16.000000
286,-17.000000
287,25.000000
288,2.000000
289,9.000000
290,37.000000
291,17.000000
292,84.000000
293,58.000000
294,16.000000
295,-4.000000
296,12.000000
297,26.000000
298,21.000000
299,32.000000
300,-2.000000
301,65.000000
302,-7.000000
303,10.000000
304,22.000000
305,37.000000
306,-8.000000
307,116.000000
308,52.000000
309,77.000000
310,28.000000
311,70.000000
312,39.000000
313,37.000000
314,4.000000
315,-15.000000
316,36.000000
317,47.000000
318,22.000000
319,23.000000
320,18.000000
321,16.000000
322,8.000000
323,18.000000
324,15.000000
325,15.000000
326,38.000000
327,74.000000
328,40.000000
329,38.000000
330,9.000000
331,66.000000
332,25.000000
333,16.000000
334,13.000000
335,10.000000
336,29.000000
337,3.000000
338,15.000000
339,24.000000
340,12.000000
341,29.000000
342,34.000000
343,-7.000000
344,35.000000
345,18.000000
346,42.000000
347,4.000000
348,10.000000
349,39.000000
350,13.000000
351,5.000000
352,33.000000
353,17.000000
354,29.000000
355,28.000000
356,40.000000
357,24.000000
358,35.000000
359,38.000000
360,-2.000000
361,79.000000
362,46.000000
363,56.000000
364,57.000000
