================================================================================
IQN TRAINING RESULTS - 10000 EPOCHS
================================================================================
Generated: 2026-01-20 15:55:46
Model Type: iqn
Epochs: 10000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
--------------------------------------------------------------------------------
0        0.000000        -59.00      
1        0.240906        -56.00      
2        0.244425        -60.00      
3        0.185942        -59.00      
4        0.206494        -39.00      
5        0.178123        -40.00      
6        0.215938        -53.00      
7        0.142510        -42.00      
8        0.124631        -43.00      
9        0.180366        -52.00      
10       0.093204        -56.00      
11       0.091151        -58.00      
12       0.088156        -31.00      
13       0.072977        29.00       
14       0.153189        -26.00      
15       0.058615        -56.00      
16       0.210132        -54.00      
17       0.057676        -52.00      
18       0.056352        -60.00      
19       0.042716        -53.00      
20       0.041586        -60.00      
21       0.186766        -33.00      
22       0.103519        -55.00      
23       0.031994        -56.00      
24       0.081216        -31.00      
25       0.043079        -15.00      
26       0.039886        49.00       
27       0.113125        37.00       
28       0.118440        32.00       
29       0.220258        19.00       
30       0.093897        19.00       
31       0.144416        66.00       
32       0.045655        9.00        
33       0.213060        9.00        
34       0.125168        -16.00      
35       0.310860        36.00       
36       0.299213        26.00       
37       0.276194        49.00       
38       0.204942        40.00       
39       0.412312        23.00       
40       0.175205        24.00       
41       0.278586        7.00        
42       0.501966        60.00       
43       0.299694        40.00       
44       0.359720        70.00       
45       0.185586        20.00       
46       0.568947        70.00       
47       0.382482        34.00       
48       0.434979        47.00       
49       0.393181        54.00       
50       0.162325        42.00       
51       0.184929        1.00        
52       0.317460        16.00       
53       0.160026        45.00       
54       0.237958        84.00       
55       0.407554        5.00        
56       0.176170        70.00       
57       0.019661        100.00      
58       0.385440        50.00       
59       0.205273        60.00       
60       0.261538        80.00       
61       0.543727        14.00       
62       0.389893        10.00       
63       0.374814        90.00       
64       0.432795        42.00       
65       0.156850        38.00       
66       0.223586        70.00       
67       0.154116        90.00       
68       0.245948        42.00       
69       0.375801        22.00       
70       0.290137        80.00       
71       0.235991        3.00        
72       0.724206        22.00       
73       0.521196        23.00       
74       0.308267        50.00       
75       0.304587        50.00       
76       0.167026        2.00        
77       0.286688        50.00       
78       0.216821        50.00       
79       0.664758        32.00       
80       0.074191        20.00       
81       0.349705        60.00       
82       0.252523        28.00       
83       0.176732        34.00       
84       0.501399        70.00       
85       0.131225        60.00       
86       0.206032        50.00       
87       0.358230        100.00      
88       0.426908        50.00       
89       0.498114        50.00       
90       0.115776        24.00       
91       0.301973        60.00       
92       0.285622        40.00       
93       0.683790        40.00       
94       0.495338        90.00       
95       0.394360        50.00       
96       0.411383        10.00       
97       0.362905        20.00       
98       0.222533        20.00       
99       0.516480        50.00       
100      0.336087        40.00       
101      0.282998        40.00       
102      0.331312        30.00       
103      0.019967        30.00       
104      0.342006        60.00       
105      0.305688        30.00       
106      0.278816        70.00       
107      0.216332        80.00       
108      0.260444        30.00       
109      1.019249        60.00       
110      0.223647        50.00       
111      0.228036        70.00       
112      0.416158        50.00       
113      0.187067        40.00       
114      0.287863        50.00       
115      0.623608        50.00       
116      0.127425        60.00       
117      0.715673        80.00       
118      0.702957        30.00       
119      0.361098        70.00       
120      0.427543        50.00       
121      0.411669        60.00       
122      0.369183        60.00       
123      0.540896        70.00       
124      0.414558        80.00       
125      0.457818        10.00       
126      0.402837        50.00       
127      0.360199        70.00       
128      0.458063        20.00       
129      0.531571        30.00       
130      0.131916        30.00       
131      0.194896        50.00       
132      0.282266        100.00      
133      0.269172        60.00       
134      0.529126        60.00       
135      0.343426        30.00       
136      0.521626        60.00       
137      0.220491        40.00       
138      0.322097        30.00       
139      0.650549        80.00       
140      0.426531        70.00       
141      0.374742        60.00       
142      0.247635        70.00       
143      0.449186        70.00       
144      0.134981        80.00       
145      0.279828        90.00       
146      0.580556        20.00       
147      0.480021        60.00       
148      0.875326        60.00       
149      0.296930        60.00       
150      0.510442        70.00       
151      0.658634        30.00       
152      0.701438        30.00       
153      0.148734        50.00       
154      0.360093        50.00       
155      0.528788        120.00      
156      0.676390        110.00      
157      0.423567        50.00       
158      0.374285        40.00       
159      0.345630        70.00       
160      0.416784        80.00       
161      0.338781        60.00       
162      0.317219        50.00       
163      0.149317        50.00       
164      0.287607        60.00       
165      0.161274        60.00       
166      0.360298        50.00       
167      0.148568        90.00       
168      0.375932        30.00       
169      0.360477        40.00       
170      0.745337        60.00       
171      0.552300        50.00       
172      0.365004        70.00       
173      0.687738        60.00       
174      0.435880        60.00       
175      0.217776        30.00       
