Epoch,Reward
0,33.000000
1,3.000000
2,47.000000
3,64.000000
4,54.000000
5,11.000000
6,-14.000000
7,-1.000000
8,-3.000000
9,-26.000000
10,33.000000
11,37.000000
12,-18.000000
13,37.000000
14,33.000000
15,9.000000
16,16.000000
17,1.000000
18,11.000000
19,26.000000
20,30.000000
21,24.000000
22,12.000000
23,-7.000000
24,-3.000000
25,6.000000
26,-11.000000
27,17.000000
28,43.000000
29,25.000000
30,14.000000
31,20.000000
32,23.000000
33,18.000000
34,45.000000
35,13.000000
36,31.000000
37,39.000000
38,17.000000
39,35.000000
40,-5.000000
41,2.000000
42,28.000000
43,36.000000
44,25.000000
45,46.000000
46,12.000000
47,15.000000
48,33.000000
49,11.000000
50,22.000000
51,1.000000
52,41.000000
53,-26.000000
54,-25.000000
55,-9.000000
56,-2.000000
57,30.000000
58,22.000000
59,18.000000
60,73.000000
61,49.000000
62,84.000000
63,29.000000
64,40.000000
65,46.000000
66,32.000000
67,-6.000000
68,24.000000
69,5.000000
70,16.000000
71,37.000000
72,17.000000
73,33.000000
74,30.000000
75,-1.000000
76,44.000000
77,-21.000000
78,-10.000000
79,13.000000
80,2.000000
81,-3.000000
82,-32.000000
83,-11.000000
84,6.000000
85,11.000000
86,2.000000
87,-10.000000
88,0.000000
89,8.000000
90,35.000000
91,4.000000
92,11.000000
93,22.000000
94,18.000000
95,3.000000
96,12.000000
97,39.000000
98,26.000000
99,66.000000
100,6.000000
101,18.000000
102,13.000000
103,25.000000
104,64.000000
105,11.000000
106,23.000000
107,1.000000
108,62.000000
109,-11.000000
110,29.000000
111,57.000000
112,22.000000
113,44.000000
114,30.000000
115,26.000000
116,49.000000
117,40.000000
118,23.000000
119,28.000000
120,52.000000
121,10.000000
122,0.000000
123,5.000000
124,38.000000
125,2.000000
126,34.000000
127,16.000000
128,32.000000
129,77.000000
130,14.000000
131,33.000000
132,26.000000
133,20.000000
134,68.000000
135,28.000000
136,15.000000
137,48.000000
138,2.000000
139,44.000000
140,-7.000000
141,3.000000
142,14.000000
143,-3.000000
144,13.000000
145,30.000000
146,16.000000
147,40.000000
148,20.000000
149,56.000000
150,7.000000
151,-6.000000
152,-6.000000
153,6.000000
154,34.000000
155,32.000000
156,23.000000
157,14.000000
158,59.000000
159,44.000000
160,56.000000
161,17.000000
162,47.000000
163,34.000000
164,25.000000
165,8.000000
166,57.000000
167,30.000000
168,25.000000
169,46.000000
170,13.000000
171,37.000000
172,28.000000
173,8.000000
174,12.000000
175,18.000000
176,20.000000
177,45.000000
178,35.000000
179,29.000000
180,29.000000
181,8.000000
182,31.000000
183,14.000000
184,0.000000
185,-13.000000
186,-20.000000
187,-16.000000
188,-5.000000
189,-6.000000
190,-13.000000
191,-9.000000
192,19.000000
193,16.000000
194,-11.000000
195,24.000000
196,24.000000
197,-8.000000
198,-4.000000
199,16.000000
200,-22.000000
201,10.000000
202,14.000000
203,33.000000
204,22.000000
205,38.000000
206,-5.000000
207,79.000000
208,32.000000
209,5.000000
210,40.000000
211,18.000000
212,-9.000000
213,-1.000000
214,63.000000
215,29.000000
216,61.000000
217,27.000000
218,59.000000
219,46.000000
220,40.000000
221,74.000000
222,28.000000
223,55.000000
224,55.000000
225,13.000000
226,46.000000
227,18.000000
228,24.000000
229,26.000000
230,15.000000
231,17.000000
232,-18.000000
233,4.000000
234,9.000000
235,7.000000
236,43.000000
237,6.000000
238,0.000000
239,47.000000
240,19.000000
241,44.000000
242,41.000000
243,2.000000
244,20.000000
245,40.000000
246,37.000000
247,24.000000
248,7.000000
249,-13.000000
250,-38.000000
251,-36.000000
252,-18.000000
253,-4.000000
254,-24.000000
255,-13.000000
256,-4.000000
257,0.000000
258,-9.000000
259,10.000000
260,13.000000
261,-11.000000
262,-1.000000
263,-6.000000
264,6.000000
265,29.000000
266,51.000000
267,6.000000
268,10.000000
269,13.000000
270,14.000000
271,27.000000
272,2.000000
273,63.000000
274,26.000000
275,-11.000000
276,2.000000
277,27.000000
278,2.000000
279,26.000000
280,7.000000
281,36.000000
282,19.000000
283,21.000000
284,0.000000
285,27.000000
286,31.000000
287,39.000000
288,37.000000
289,57.000000
290,27.000000
291,29.000000
292,37.000000
293,26.000000
294,45.000000
295,32.000000
296,16.000000
297,43.000000
298,20.000000
299,29.000000
300,46.000000
301,37.000000
302,18.000000
303,12.000000
304,8.000000
305,30.000000
306,27.000000
307,-9.000000
308,52.000000
309,39.000000
310,1.000000
311,78.000000
312,26.000000
313,16.000000
314,-1.000000
315,15.000000
316,48.000000
317,8.000000
318,17.000000
319,-5.000000
320,7.000000
321,4.000000
322,16.000000
323,67.000000
324,24.000000
325,55.000000
326,63.000000
327,52.000000
328,9.000000
329,16.000000
330,19.000000
331,33.000000
332,-7.000000
333,12.000000
334,-30.000000
335,26.000000
336,-7.000000
337,15.000000
338,14.000000
339,11.000000
340,24.000000
341,39.000000
342,49.000000
343,28.000000
344,29.000000
345,16.000000
346,24.000000
347,27.000000
348,8.000000
349,38.000000
350,23.000000
351,37.000000
352,58.000000
353,49.000000
354,21.000000
355,51.000000
356,28.000000
357,25.000000
358,25.000000
359,15.000000
360,33.000000
361,19.000000
362,18.000000
363,8.000000
364,22.000000
365,10.000000
366,31.000000
367,-3.000000
368,-26.000000
369,21.000000
370,18.000000
371,17.000000
372,19.000000
373,27.000000
374,30.000000
375,58.000000
376,25.000000
377,20.000000
378,21.000000
379,-3.000000
380,19.000000
381,65.000000
382,19.000000
383,9.000000
384,18.000000
385,67.000000
386,46.000000
387,39.000000
388,29.000000
389,22.000000
390,33.000000
391,0.000000
392,-5.000000
393,-9.000000
394,22.000000
395,-2.000000
396,-8.000000
397,50.000000
398,-13.000000
399,25.000000
400,13.000000
401,-2.000000
402,24.000000
403,-23.000000
404,-16.000000
405,-14.000000
406,25.000000
407,-8.000000
408,-4.000000
409,18.000000
410,27.000000
411,-1.000000
412,41.000000
413,-8.000000
414,16.000000
415,0.000000
416,20.000000
417,10.000000
418,18.000000
419,14.000000
420,68.000000
421,-9.000000
422,-15.000000
423,42.000000
424,-3.000000
425,9.000000
426,36.000000
427,30.000000
428,26.000000
429,78.000000
430,22.000000
431,36.000000
432,25.000000
433,78.000000
434,4.000000
435,22.000000
436,34.000000
437,23.000000
438,29.000000
439,-4.000000
440,3.000000
441,2.000000
442,-6.000000
443,18.000000
444,21.000000
445,-10.000000
446,-10.000000
447,28.000000
448,-13.000000
449,34.000000
450,24.000000
451,8.000000
452,30.000000
