================================================================================
IQN TRAINING RESULTS - 2000 EPOCHS
================================================================================
Generated: 2026-01-20 15:28:31
Model Type: iqn
Epochs: 2000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
--------------------------------------------------------------------------------
0        0.000000        -53.00      
1        0.223779        -54.00      
2        0.183232        -45.00      
3        0.144772        36.00       
4        0.112143        12.00       
5        0.104001        -55.00      
6        0.223333        18.00       
7        0.173345        -51.00      
8        0.232265        -2.00       
9        0.071433        17.00       
10       0.146501        -52.00      
11       0.057701        -42.00      
12       0.202123        -41.00      
13       0.209170        -26.00      
14       0.126701        -29.00      
15       0.190826        -46.00      
16       0.185703        -51.00      
17       0.058909        -39.00      
18       0.146553        -47.00      
19       0.139292        -52.00      
20       0.122769        -30.00      
21       0.041378        -56.00      
22       0.032958        66.00       
23       0.135824        81.00       
24       0.366908        49.00       
25       0.177595        130.00      
26       0.292596        140.00      
27       0.529959        77.00       
28       0.419421        120.00      
29       0.643431        79.00       
30       0.416359        50.00       
31       0.791038        50.00       
32       0.793706        90.00       
33       0.433007        100.00      
34       0.697944        50.00       
35       0.862083        40.00       
36       0.504202        40.00       
37       0.153879        40.00       
38       0.486238        60.00       
39       1.023305        70.00       
40       0.434564        80.00       
41       0.903709        70.00       
42       0.372547        20.00       
43       0.244296        40.00       
44       0.318093        70.00       
45       0.467891        20.00       
46       0.173055        50.00       
47       0.354560        80.00       
48       0.833070        90.00       
49       0.392524        30.00       
50       0.412126        20.00       
51       0.370971        30.00       
52       0.358833        70.00       
53       0.379378        20.00       
54       0.323378        30.00       
55       0.274415        60.00       
56       0.449516        60.00       
57       0.074180        80.00       
58       0.321854        40.00       
59       0.423004        40.00       
60       0.420241        40.00       
61       0.459239        30.00       
62       0.365905        80.00       
63       0.260772        40.00       
64       0.179362        70.00       
65       0.304836        120.00      
66       0.140274        20.00       
67       0.711525        110.00      
68       0.464752        30.00       
69       0.353792        60.00       
70       0.387020        50.00       
71       0.604569        40.00       
72       0.433095        68.00       
73       0.423735        70.00       
74       0.328452        40.00       
75       0.482765        20.00       
76       0.723553        20.00       
77       0.185757        17.00       
78       0.590497        56.00       
79       0.740245        70.00       
80       0.184342        28.00       
81       0.282409        80.00       
82       0.307440        57.00       
83       0.376251        50.00       
84       0.544137        40.00       
85       0.133135        40.00       
86       0.422879        50.00       
87       0.682112        110.00      
88       0.425654        30.00       
89       0.358250        40.00       
90       0.221494        80.00       
91       0.157360        10.00       
92       0.164159        40.00       
93       0.435027        50.00       
94       0.398505        70.00       
95       0.525784        50.00       
96       0.531766        60.00       
97       0.203287        80.00       
98       0.463020        70.00       
99       0.073003        70.00       
100      0.635163        30.00       
101      0.131126        60.00       
102      0.404348        110.00      
103      0.455823        40.00       
104      0.505350        90.00       
105      0.460011        60.00       
106      0.546546        40.00       
107      0.353545        90.00       
108      0.804216        80.00       
109      0.491775        100.00      
110      0.286573        50.00       
111      0.397206        80.00       
112      0.225907        80.00       
113      0.410382        90.00       
114      0.277996        80.00       
115      0.509599        70.00       
116      0.420848        40.00       
117      0.578712        70.00       
118      0.874135        15.00       
119      0.533170        100.00      
120      0.989919        110.00      
121      0.333517        80.00       
122      0.365985        79.00       
123      0.423984        25.00       
124      0.901951        85.00       
125      0.525993        26.00       
126      0.288650        60.00       
127      0.547761        50.00       
128      0.380976        49.00       
129      0.565844        80.00       
130      0.229863        100.00      
131      0.579615        70.00       
132      0.433879        30.00       
133      0.435149        80.00       
134      0.312667        90.00       
135      0.264369        50.00       
136      0.538772        70.00       
137      0.360169        70.00       
138      0.860073        50.00       
139      0.419727        80.00       
140      0.527210        110.00      
141      0.242118        80.00       
142      0.615954        100.00      
143      0.244834        68.00       
144      0.951673        40.00       
145      0.680799        90.00       
146      0.684491        100.00      
147      1.057734        50.00       
148      0.586011        50.00       
149      0.318776        70.00       
150      0.549165        70.00       
151      0.447670        90.00       
152      0.659477        40.00       
153      0.183752        65.00       
154      0.484904        100.00      
155      0.666223        60.00       
156      0.775383        50.00       
157      0.152290        59.00       
158      0.510777        47.00       
159      0.673427        76.00       
160      0.510936        50.00       
161      0.570426        40.00       
162      0.365381        50.00       
163      0.322112        110.00      
164      0.342404        90.00       
165      0.690351        70.00       
166      0.410816        65.00       
167      0.586390        70.00       
168      0.652006        27.00       
169      0.493352        95.00       
170      0.624177        45.00       
171      0.344647        55.00       
172      0.293951        38.00       
173      0.271244        68.00       
174      0.256669        -11.00      
175      0.343308        60.00       
176      0.493083        60.00       
177      0.464393        40.00       
178      0.371342        90.00       
179      0.484867        70.00       
180      0.361412        64.00       
181      0.724511        29.00       
182      0.223168        46.00       
183      0.419755        -3.00       
184      0.220984        10.00       
185      0.427436        14.00       
186      0.215926        32.00       
187      0.368657        27.00       
188      0.221187        44.00       
189      0.283461        33.00       
190      0.476394        14.00       
191      0.389756        60.00       
192      0.146607        50.00       
193      0.316281        40.00       
194      0.149335        30.00       
195      0.229163        90.00       
196      0.510221        40.00       
197      0.185398        40.00       
198      0.359557        100.00      
199      0.316306        70.00       
200      0.502464        70.00       
201      0.524045        60.00       
202      0.247667        90.00       
203      0.569809        70.00       
204      0.467172        20.00       
205      0.551459        110.00      
206      0.455544        70.00       
207      0.747570        90.00       
208      0.791782        70.00       
209      0.628051        100.00      
210      0.926240        80.00       
211      0.765422        40.00       
212      0.714592        29.00       
213      0.575815        60.00       
214      0.747521        60.00       
215      0.489452        30.00       
216      0.645097        50.00       
217      0.478897        30.00       
218      0.579600        20.00       
219      0.487093        27.00       
220      0.448757        10.00       
221      0.435465        18.00       
222      0.590683        20.00       
223      0.476863        38.00       
224      0.360155        10.00       
225      0.376623        10.00       
226      0.571186        10.00       
227      0.525878        40.00       
228      0.426634        50.00       
229      0.431222        19.00       
230      0.485681        80.00       
231      0.538976        80.00       
232      0.330702        40.00       
233      0.394520        90.00       
234      0.393516        110.00      
235      0.467091        60.00       
236      0.548836        100.00      
237      0.480933        70.00       
238      0.396637        90.00       
239      0.273134        53.00       
240      0.554869        30.00       
241      0.831585        80.00       
242      0.589685        36.00       
243      0.445702        60.00       
244      0.750269        60.00       
245      0.730439        70.00       
246      0.512817        60.00       
247      0.642186        60.00       
248      0.655014        50.00       
249      0.431628        70.00       
250      0.415717        20.00       
251      0.415352        10.00       
252      0.443269        40.00       
253      0.546376        60.00       
254      0.575985        130.00      
255      0.334894        47.00       
256      0.477044        50.00       
257      0.412025        60.00       
258      0.427131        80.00       
259      0.691181        50.00       
260      0.331304        60.00       
261      0.590995        70.00       
262      0.415107        50.00       
263      0.309738        80.00       
264      0.246283        10.00       
265      0.471399        60.00       
266      0.509796        60.00       
267      0.547175        50.00       
268      0.590399        90.00       
269      0.781747        150.00      
270      0.676566        70.00       
271      0.719557        70.00       
272      0.665567        100.00      
273      0.615182        110.00      
274      0.590582        50.00       
275      0.543396        70.00       
276      0.493642        70.00       
277      0.686868        60.00       
278      0.385508        80.00       
279      0.448781        90.00       
280      0.682442        50.00       
281      0.559961        60.00       
282      0.545948        45.00       
283      0.585141        40.00       
284      0.748731        50.00       
285      1.007611        60.00       
286      0.605818        80.00       
287      0.593327        50.00       
288      0.643013        50.00       
289      0.457311        60.00       
290      0.494923        40.00       
291      0.436807        130.00      
292      0.485118        59.00       
293      0.537113        21.00       
294      0.502992        90.00       
295      0.499580        55.00       
296      0.657218        33.00       
297      0.656427        9.00        
298      0.849906        79.00       
299      0.390979        43.00       
300      0.474218        90.00       
301      0.473927        90.00       
302      0.384895        60.00       
303      0.793077        30.00       
304      0.539624        50.00       
305      0.361470        70.00       
306      0.391027        60.00       
307      0.489515        100.00      
308      0.643963        90.00       
309      0.565060        60.00       
310      0.758848        49.00       
311      0.605589        45.00       
312      0.894908        50.00       
313      0.400932        30.00       
314      0.453446        50.00       
315      0.795640        100.00      
316      0.501262        90.00       
317      0.403201        70.00       
318      0.421656        90.00       
319      0.456700        120.00      
320      0.436518        60.00       
321      0.461477        60.00       
322      0.634937        60.00       
323      0.311924        50.00       
324      0.601954        50.00       
325      0.404165        80.00       
326      0.577795        60.00       
327      0.433851        60.00       
328      0.503778        20.00       
329      0.601917        40.00       
330      0.503006        70.00       
331      0.664433        110.00      
332      0.612249        30.00       
333      0.489343        90.00       
334      0.535039        70.00       
335      0.500204        60.00       
336      0.496090        80.00       
337      0.783067        90.00       
338      0.576855        80.00       
339      0.403909        60.00       
340      0.747716        40.00       
341      0.445906        50.00       
342      0.505303        54.00       
343      0.418005        70.00       
344      0.678200        80.00       
345      0.645812        40.00       
346      0.602897        60.00       
347      0.500960        80.00       
348      0.667516        70.00       
349      0.460808        50.00       
350      0.421428        40.00       
351      0.753975        100.00      
352      0.524852        50.00       
353      0.492189        80.00       
354      0.532537        60.00       
355      0.674570        30.00       
356      0.379576        29.00       
357      0.481240        110.00      
358      0.516888        30.00       
359      0.348185        90.00       
360      0.664428        60.00       
361      0.526431        60.00       
362      0.548750        30.00       
363      0.644221        80.00       
364      0.510151        20.00       
365      0.434113        80.00       
366      0.497174        60.00       
367      0.361257        80.00       
368      0.445437        30.00       
369      0.428450        0.00        
370      0.398213        40.00       
371      0.426923        20.00       
372      0.430112        39.00       
373      0.443320        50.00       
374      0.405245        50.00       
375      0.379535        60.00       
376      0.292269        60.00       
377      0.510284        40.00       
378      0.457851        50.00       
379      0.461987        20.00       
380      0.314326        60.00       
381      0.340452        60.00       
382      0.252671        80.00       
383      0.328013        50.00       
384      0.442335        70.00       
385      0.471336        50.00       
386      0.525879        60.00       
387      0.607883        60.00       
388      0.417118        100.00      
389      0.572322        70.00       
390      0.400945        80.00       
391      0.454807        90.00       
392      0.537748        70.00       
393      0.444451        70.00       
394      0.527472        50.00       
395      0.644023        20.00       
396      0.679400        50.00       
397      0.435692        60.00       
398      0.693232        40.00       
399      0.430116        90.00       
400      0.703656        70.00       
401      0.734625        90.00       
402      0.771918        60.00       
403      0.674965        90.00       
404      0.737436        30.00       
405      0.761467        80.00       
406      0.916796        80.00       
407      0.721944        90.00       
408      0.777684        50.00       
409      0.825535        100.00      
410      0.670628        40.00       
411      0.773765        70.00       
412      0.780862        80.00       
413      0.872253        60.00       
414      0.756205        60.00       
415      0.656717        70.00       
416      0.611186        110.00      
417      0.636621        60.00       
418      0.743932        80.00       
419      0.896191        60.00       
420      0.756048        60.00       
421      0.804741        80.00       
