Epoch,Reward
0,22.000000
1,5.000000
2,29.000000
3,26.000000
4,14.000000
5,48.000000
6,49.000000
7,28.000000
8,38.000000
9,42.000000
10,39.000000
11,0.000000
12,19.000000
13,29.000000
14,23.000000
15,26.000000
16,27.000000
17,25.000000
18,9.000000
19,35.000000
20,40.000000
21,33.000000
22,20.000000
23,14.000000
24,-4.000000
25,61.000000
26,24.000000
27,9.000000
28,18.000000
29,47.000000
30,20.000000
31,30.000000
32,33.000000
33,11.000000
34,20.000000
35,19.000000
36,58.000000
37,4.000000
38,70.000000
39,6.000000
40,13.000000
41,64.000000
42,24.000000
43,13.000000
44,26.000000
45,11.000000
46,49.000000
47,28.000000
48,37.000000
49,32.000000
50,25.000000
51,39.000000
52,48.000000
53,28.000000
54,12.000000
55,-12.000000
56,22.000000
57,2.000000
58,20.000000
59,10.000000
60,16.000000
61,77.000000
62,26.000000
63,26.000000
64,-16.000000
65,16.000000
66,32.000000
67,27.000000
68,17.000000
69,17.000000
70,7.000000
71,-3.000000
72,3.000000
73,32.000000
74,2.000000
75,14.000000
76,6.000000
77,19.000000
78,55.000000
79,17.000000
80,7.000000
81,39.000000
82,26.000000
83,74.000000
84,64.000000
85,26.000000
86,49.000000
87,55.000000
88,41.000000
89,22.000000
90,8.000000
91,14.000000
92,15.000000
93,41.000000
94,25.000000
95,20.000000
96,5.000000
97,12.000000
98,33.000000
99,64.000000
100,22.000000
101,40.000000
102,32.000000
103,3.000000
104,43.000000
105,30.000000
106,16.000000
107,11.000000
108,28.000000
109,21.000000
110,8.000000
111,45.000000
112,15.000000
113,57.000000
114,26.000000
115,49.000000
116,47.000000
117,63.000000
118,45.000000
119,28.000000
120,39.000000
121,33.000000
122,65.000000
123,50.000000
124,33.000000
125,15.000000
126,38.000000
127,12.000000
128,26.000000
129,5.000000
130,50.000000
131,-4.000000
132,8.000000
133,56.000000
134,66.000000
135,55.000000
136,38.000000
137,12.000000
138,-8.000000
139,29.000000
140,32.000000
141,-14.000000
142,45.000000
143,71.000000
144,48.000000
145,30.000000
146,29.000000
147,36.000000
148,30.000000
149,57.000000
150,17.000000
151,52.000000
152,58.000000
