================================================================================
CPC TRAINING RESULTS - 500 EPOCHS, CPC START AT EPOCH 10
================================================================================
Generated: 2026-01-20 14:52:23
Epochs: 500
CPC Start Epoch: 10
CPC Memory Bank Size: 4
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
137      185.838131      13.114101       186.00       4/4       
138      109.149837      12.072968       1959.00      4/4       
139      205.644104      11.507837       -114.00      4/4       
140      347.615128      10.274574       2770.00      4/4       
141      273.932884      9.681719        1899.00      4/4       
142      169.937916      8.313859        2040.00      4/4       
143      120.905031      8.818639        161.00       4/4       
144      185.023506      9.674067        2612.00      4/4       
145      81.394958       10.593751       1124.00      4/4       
146      145.570278      9.888489        1963.00      4/4       
147      208.226742      10.056616       1640.00      4/4       
148      210.807640      11.403664       2367.00      4/4       
149      506.098389      11.553895       3995.00      4/4       
150      295.206131      11.836466       3190.00      4/4       
151      334.614929      11.759673       2719.00      4/4       
152      229.829365      12.148062       2710.00      4/4       
153      219.236244      10.042206       2419.00      4/4       
154      145.785141      8.962606        1727.00      4/4       
155      158.558762      9.905415        1598.00      4/4       
156      250.149128      11.643313       -304.00      4/4       
157      296.088440      12.144426       -698.00      4/4       
158      291.162422      11.254288       -823.00      4/4       
159      221.801762      10.032472       2545.00      4/4       
160      187.034092      10.306266       1030.00      4/4       
161      215.689175      10.719378       406.00       4/4       
162      339.191826      9.604860        -721.00      4/4       
163      321.901665      10.195935       -286.00      4/4       
164      222.728416      13.819880       455.00       4/4       
165      239.006828      13.980532       -43.00       4/4       
166      326.744568      16.205681       -77.00       4/4       
167      227.270733      16.256886       327.00       4/4       
168      140.807915      18.483120       293.00       4/4       
169      282.200989      20.004093       525.00       4/4       
170      283.256775      17.478031       -503.00      4/4       
171      165.642456      14.344775       -321.00      4/4       
172      232.468460      12.592227       -304.00      4/4       
173      152.358181      14.234699       547.00       4/4       
174      228.310661      11.750388       1985.00      4/4       
175      178.079411      12.465020       -690.00      4/4       
176      192.594639      11.124152       -901.00      4/4       
177      304.524216      11.679370       -1105.00     4/4       
178      120.217567      9.004507        98.00        4/4       
179      174.542595      15.598969       211.00       4/4       
180      84.768553       18.196001       -51.00       4/4       
181      108.099878      18.227219       524.00       4/4       
182      247.667240      18.373789       974.00       4/4       
183      187.854839      17.370211       6.00         4/4       
184      182.304050      19.614201       1615.00      4/4       
185      129.894609      15.798914       422.00       4/4       
186      149.736496      11.727308       -516.00      4/4       
187      219.575321      8.546742        -579.00      4/4       
188      169.349926      9.687558        -1049.00     4/4       
189      129.490755      11.198658       767.00       4/4       
190      133.563709      13.344251       1993.00      4/4       
191      82.124758       14.676103       1580.00      4/4       
192      176.168266      15.404823       -274.00      4/4       
193      104.865324      14.863532       364.00       4/4       
194      94.327379       12.316046       345.00       4/4       
195      93.700764       9.975110        511.00       4/4       
196      170.675362      9.447060        1879.00      4/4       
197      82.715662       10.754891       496.00       4/4       
198      70.297844       13.200290       -433.00      4/4       
199      86.106991       14.717716       -36.00       4/4       
200      82.610931       14.880065       1396.00      4/4       
201      77.530109       15.992952       1076.00      4/4       
202      116.158947      15.396853       2231.00      4/4       
203      428.386765      14.497168       2595.00      4/4       
204      270.732239      16.318266       3320.00      4/4       
205      155.105064      18.014614       1524.00      4/4       
206      258.191616      21.373657       1974.00      4/4       
207      107.529448      21.747969       1730.00      4/4       
208      137.971462      22.342205       1371.00      4/4       
209      91.349268       20.749159       927.00       4/4       
210      152.764442      20.688622       2470.00      4/4       
211      429.003525      14.890586       3447.00      4/4       
212      95.898819       13.751407       1558.00      4/4       
213      208.120197      13.292537       2542.00      4/4       
214      187.485916      12.546752       2967.00      4/4       
215      70.937515       10.862329       1260.00      4/4       
216      341.873817      10.595531       3920.00      4/4       
217      276.965836      11.868291       2783.00      4/4       
218      264.329330      11.960249       3216.00      4/4       
219      212.224163      11.536732       2722.00      4/4       
220      93.566195       10.830026       2492.00      4/4       
221      88.135662       10.646195       1872.00      4/4       
222      455.203926      10.134546       4590.00      4/4       
223      533.550751      9.744380        2694.00      4/4       
224      369.643562      9.664212        3690.00      4/4       
225      662.155960      9.809433        4032.00      4/4       
226      245.095821      11.395956       3517.00      4/4       
227      116.466225      11.609544       502.00       4/4       
228      112.655352      10.424467       1754.00      4/4       
229      142.092545      11.905823       1626.00      4/4       
230      185.884930      12.743155       1980.00      4/4       
231      137.207222      12.803263       1652.00      4/4       
232      144.313404      13.847960       2590.00      4/4       
233      95.936819       13.810755       602.00       4/4       
234      135.386635      14.283940       2736.00      4/4       
235      435.160767      11.428634       3571.00      4/4       
236      402.434914      12.313657       3094.00      4/4       
237      278.580467      11.938996       2890.00      4/4       
238      90.956335       13.750798       1107.00      4/4       
239      137.416275      12.246442       2180.00      4/4       
240      241.023857      11.696890       2719.00      4/4       
241      101.854189      10.559983       1904.00      4/4       
242      97.145790       10.730930       1627.00      4/4       
243      162.084255      10.460013       1682.00      4/4       
244      261.245758      9.986014        2697.00      4/4       
245      68.219269       10.027518       1159.00      4/4       
246      156.518349      13.382913       289.00       4/4       
247      196.123856      14.285862       2574.00      4/4       
248      123.600168      13.719872       1529.00      4/4       
249      124.628229      13.296843       973.00       4/4       
250      147.255646      12.302437       628.00       4/4       
251      139.717648      13.160606       548.00       4/4       
252      255.099339      12.276919       2003.00      4/4       
253      131.301836      12.690756       566.00       4/4       
254      155.131409      13.998433       2211.00      4/4       
255      157.593006      15.527029       652.00       4/4       
256      200.863930      17.739428       878.00       4/4       
257      171.907001      16.073273       596.00       4/4       
258      117.308609      14.778977       691.00       4/4       
259      271.203278      14.340697       -730.00      4/4       
260      157.616158      13.390701       878.00       4/4       
261      290.425438      10.730281       -1074.00     4/4       
262      120.767195      9.316632        630.00       4/4       
263      201.337719      7.912947        11.00        4/4       
264      107.530422      8.222360        334.00       4/4       
265      230.557774      9.116206        -557.00      4/4       
266      82.866858       10.461149       -43.00       4/4       
267      97.399397       12.488455       1321.00      4/4       
268      142.961964      12.897527       507.00       4/4       
269      147.771542      13.969156       327.00       4/4       
270      236.548954      12.978612       -697.00      4/4       
271      119.300926      11.739282       2092.00      4/4       
272      159.128216      14.866605       -653.00      4/4       
273      77.897072       14.043509       -242.00      4/4       
274      146.514801      14.966810       1356.00      4/4       
275      51.543241       12.709187       589.00       4/4       
276      73.539839       17.894241       1470.00      4/4       
277      89.693378       21.237646       -58.00       4/4       
278      78.864231       20.207655       1758.00      4/4       
279      87.978889       16.647654       1678.00      4/4       
280      75.415974       16.284561       1562.00      4/4       
281      164.979137      14.763160       2886.00      4/4       
282      63.333249       12.174942       1265.00      4/4       
283      264.829117      10.225942       2252.00      4/4       
284      177.792183      9.930182        1897.00      4/4       
285      236.756695      9.951477        2273.00      4/4       
286      275.205215      10.217946       2631.00      4/4       
287      117.490843      10.960557       1490.00      4/4       
288      332.905968      10.326518       988.00       4/4       
289      123.466400      10.865247       2735.00      4/4       
290      100.881491      11.150676       1450.00      4/4       
291      50.316726       10.644060       1455.00      4/4       
