================================================================================
CPC TRAINING RESULTS - 20000 EPOCHS
================================================================================
Generated: 2026-01-20 18:02:04
Model Type: ppo_lstm_cpc
Epochs: 20000
CPC Start Epoch: 10
CPC Memory Bank Size: 5
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
--------------------------------------------------------------------------------
0        52.809997       0.000000        33.00        0/5       
1        9.267884        0.000000        3.00         0/5       
2        80.600899       0.000000        47.00        0/5       
3        155.491562      0.000000        64.00        0/5       
4        124.029833      0.000000        54.00        0/5       
5        9.398490        0.000000        11.00        0/5       
6        29.523450       0.000000        -14.00       0/5       
7        20.175200       0.000000        -1.00        0/5       
8        25.459940       0.000000        -3.00        0/5       
9        37.048857       0.000000        -26.00       0/5       
10       23.524903       0.000000        33.00        0/5       
11       37.228734       6.729242        37.00        1/5       
12       25.993419       16.038078       -18.00       2/5       
13       29.779598       18.937912       37.00        3/5       
14       32.280584       22.211985       33.00        4/5       
15       15.313170       24.735369       9.00         5/5       
16       19.530335       25.879465       16.00        5/5       
17       21.482507       25.851315       1.00         5/5       
18       28.078050       21.791286       11.00        5/5       
19       30.647723       22.730370       26.00        5/5       
20       47.688650       21.545311       30.00        5/5       
21       17.026057       18.911867       24.00        5/5       
22       28.328685       16.158400       12.00        5/5       
23       35.758541       16.208504       -7.00        5/5       
24       20.205905       15.452944       -3.00        5/5       
25       14.067055       14.047078       6.00         5/5       
26       34.457664       14.146734       -11.00       5/5       
27       19.195319       13.837184       17.00        5/5       
28       43.705587       12.946660       43.00        5/5       
29       17.884763       11.517534       25.00        5/5       
30       20.385900       11.635515       14.00        5/5       
31       21.482061       10.663165       20.00        5/5       
32       44.785647       9.929145        23.00        5/5       
33       13.851539       8.899881        18.00        5/5       
34       67.138778       10.499019       45.00        5/5       
35       16.898023       12.089807       13.00        5/5       
36       24.767340       16.491587       31.00        5/5       
37       64.241787       23.200323       39.00        5/5       
38       24.389600       27.288540       17.00        5/5       
39       26.185758       27.272333       35.00        5/5       
40       40.581383       29.688948       -5.00        5/5       
41       24.690102       31.281818       2.00         5/5       
42       18.569824       27.691448       28.00        5/5       
43       55.545059       20.255722       36.00        5/5       
44       48.957556       15.962089       25.00        5/5       
45       57.225628       17.603052       46.00        5/5       
46       26.861939       17.497606       12.00        5/5       
47       24.079358       18.643646       15.00        5/5       
48       31.318976       20.827326       33.00        5/5       
49       12.452527       22.504494       11.00        5/5       
50       47.858960       24.680571       22.00        5/5       
51       25.312765       23.970842       1.00         5/5       
52       23.424994       21.670090       41.00        5/5       
53       71.813025       17.986877       -26.00       5/5       
54       67.264298       15.161534       -25.00       5/5       
55       37.513885       12.288651       -9.00        5/5       
56       19.003359       9.344101        -2.00        5/5       
57       44.670281       10.460614       30.00        5/5       
58       11.910687       9.999147        22.00        5/5       
59       14.896202       11.292500       18.00        5/5       
60       93.923973       12.300163       73.00        5/5       
61       46.359572       13.652925       49.00        5/5       
62       166.017879      14.691051       84.00        5/5       
63       32.768789       14.869147       29.00        5/5       
64       60.650814       15.827593       40.00        5/5       
65       65.810787       17.161058       46.00        5/5       
66       29.902611       19.159994       32.00        5/5       
67       46.374374       22.979528       -6.00        5/5       
68       31.105046       24.176764       24.00        5/5       
69       31.627941       21.415854       5.00         5/5       
70       18.067264       22.782894       16.00        5/5       
71       70.012812       22.021721       37.00        5/5       
72       19.516902       21.400507       17.00        5/5       
73       19.033980       18.339787       33.00        5/5       
74       35.700212       17.303888       30.00        5/5       
75       41.753674       17.587820       -1.00        5/5       
76       18.511729       15.174796       44.00        5/5       
