================================================================================
IQN TRAINING RESULTS - 20000 EPOCHS
================================================================================
Generated: 2026-01-20 17:30:33
Model Type: iqn
Epochs: 20000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
250      0.111680        10.00       
251      0.026920        10.00       
252      0.193132        20.00       
253      0.235988        10.00       
254      0.291099        40.00       
255      0.087912        30.00       
256      0.096484        30.00       
257      0.162840        20.00       
258      0.199288        10.00       
259      0.026141        0.00        
260      0.026557        20.00       
261      0.109790        60.00       
262      0.179127        10.00       
263      0.166606        50.00       
264      0.152321        30.00       
265      0.216183        80.00       
266      0.206873        20.00       
267      0.251895        10.00       
268      0.162301        10.00       
269      0.313462        30.00       
270      0.026408        10.00       
271      0.154719        10.00       
272      0.221384        30.00       
273      0.100892        30.00       
274      0.265525        10.00       
275      0.367632        60.00       
276      0.215287        19.00       
277      0.182376        50.00       
278      0.188963        60.00       
279      0.192455        50.00       
280      0.171144        80.00       
281      0.186452        60.00       
282      0.092253        30.00       
283      0.214360        40.00       
284      0.252779        0.00        
285      0.476737        20.00       
286      0.306787        70.00       
287      0.612133        40.00       
288      0.098432        40.00       
289      0.267415        70.00       
290      0.181386        80.00       
291      0.321835        20.00       
292      0.324033        70.00       
293      0.258083        50.00       
294      0.462628        50.00       
295      0.613745        30.00       
296      0.252511        20.00       
297      0.194503        60.00       
298      0.344686        10.00       
299      0.235408        60.00       
300      0.243667        60.00       
301      0.429032        70.00       
302      0.371339        20.00       
303      0.397227        80.00       
304      0.088864        80.00       
305      0.271817        90.00       
306      0.176628        70.00       
307      0.678395        50.00       
308      0.463005        60.00       
309      0.170404        80.00       
310      0.583127        100.00      
311      0.303668        70.00       
312      0.103327        50.00       
313      0.384205        60.00       
314      0.521604        20.00       
315      0.696432        0.00        
316      0.572289        40.00       
317      0.351712        30.00       
318      0.325473        60.00       
319      0.309826        20.00       
320      0.302980        20.00       
321      0.412605        20.00       
322      0.148153        30.00       
323      0.420472        40.00       
324      0.275903        30.00       
325      0.031698        40.00       
326      0.248788        28.00       
327      0.032963        47.00       
328      0.217570        36.00       
329      0.427860        19.00       
330      0.181520        45.00       
331      0.171727        6.00        
332      0.229970        27.00       
333      0.310294        47.00       
334      0.225868        36.00       
335      0.044752        49.00       
336      0.257851        89.00       
337      0.223786        70.00       
338      0.320485        50.00       
339      0.179397        70.00       
340      0.608783        90.00       
341      0.331907        50.00       
342      0.247398        80.00       
343      0.528608        40.00       
344      0.517465        50.00       
345      0.504028        30.00       
346      0.786165        30.00       
347      0.430577        40.00       
348      0.606149        30.00       
349      0.502615        20.00       
350      0.464369        70.00       
351      0.593223        0.00        
352      0.378116        20.00       
353      0.456445        30.00       
354      0.425200        30.00       
355      0.391610        10.00       
356      0.220773        10.00       
357      0.277895        10.00       
358      0.229059        70.00       
359      0.247846        60.00       
360      0.209313        30.00       
361      0.102250        30.00       
362      0.233714        20.00       
363      0.372223        20.00       
364      0.228891        80.00       
365      0.230491        20.00       
366      0.041933        0.00        
367      0.229534        20.00       
368      0.094243        20.00       
369      0.407142        30.00       
370      0.254935        15.00       
371      0.353566        43.00       
372      0.104330        39.00       
373      0.271390        16.00       
374      0.318468        88.00       
375      0.184320        80.00       
376      0.122656        50.00       
377      0.172870        40.00       
378      0.245804        100.00      
379      0.223590        40.00       
380      0.438020        60.00       
381      0.402693        79.00       
382      0.423546        16.00       
383      0.656361        36.00       
384      0.511775        27.00       
385      0.216955        0.00        
386      0.448651        50.00       
387      0.169426        50.00       
388      0.302222        60.00       
389      0.441712        30.00       
390      0.459641        70.00       
391      0.459798        90.00       
392      0.455890        90.00       
393      0.405391        70.00       
394      0.775433        70.00       
395      0.406050        60.00       
396      0.300868        39.00       
397      0.343144        27.00       
398      0.403109        19.00       
399      0.417481        68.00       
400      0.413101        40.00       
401      0.678970        29.00       
402      0.438508        80.00       
403      1.038777        50.00       
404      0.793833        70.00       
405      0.454229        30.00       
406      0.668539        80.00       
407      0.462456        50.00       
408      0.336376        20.00       
409      0.635212        20.00       
410      0.475451        90.00       
411      0.530499        50.00       
412      0.592153        60.00       
413      0.405311        40.00       
414      0.656344        70.00       
415      0.407144        60.00       
416      0.291361        50.00       
417      0.762000        58.00       
418      0.425127        40.00       
419      0.422279        30.00       
420      0.637519        30.00       
421      0.692833        30.00       
422      0.422599        10.00       
423      0.546985        10.00       
424      0.415826        20.00       
425      0.682417        40.00       
426      0.612888        40.00       
427      0.584605        60.00       
428      0.268659        10.00       
429      0.771857        70.00       
430      0.553554        70.00       
431      0.454592        10.00       
432      0.501626        30.00       
433      0.543511        70.00       
434      0.524530        60.00       
435      0.404369        30.00       
436      0.434023        40.00       
437      0.503917        40.00       
438      0.352551        30.00       
439      0.370159        50.00       
440      0.585484        70.00       
441      0.860760        80.00       
442      0.338396        70.00       
443      0.785511        60.00       
444      0.507285        100.00      
445      0.646970        60.00       
446      0.542926        90.00       
447      0.876106        140.00      
448      0.603448        40.00       
449      0.596920        50.00       
450      0.534972        80.00       
451      0.558639        170.00      
452      0.681327        70.00       
453      0.902237        120.00      
454      0.986294        90.00       
455      0.821340        60.00       
456      0.606543        60.00       
457      0.703162        60.00       
458      0.855931        10.00       
459      0.806300        10.00       
460      0.501721        0.00        
461      0.626548        60.00       
462      0.677632        70.00       
463      0.425387        40.00       
464      0.373228        10.00       
465      0.631981        40.00       
466      0.601496        60.00       
467      0.461068        20.00       
468      0.720320        30.00       
469      0.629154        20.00       
470      0.480352        120.00      
471      0.475494        40.00       
472      0.555236        100.00      
473      0.399491        30.00       
474      0.462391        70.00       
475      0.558682        46.00       
476      0.695587        -5.00       
477      0.589881        18.00       
478      0.357709        9.00        
479      0.497326        -1.00       
480      0.353451        16.00       
481      0.570456        28.00       
482      0.574870        37.00       
483      0.406351        45.00       
484      0.564260        10.00       
485      0.578601        20.00       
486      0.423675        20.00       
487      0.381642        20.00       
488      0.381634        50.00       
489      0.629612        10.00       
490      0.290405        20.00       
